repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url
576201,mrdoob/three.js,1500,1500.0,1500,0.0,0.0,0,JavaScript,3d|augmented-reality|canvas|html5|javascript|svg|virtual-reality|webaudio|webgl|webgl2|webgpu|webxr,113027,36383,113027,428,2010-03-23T18:58:01Z,2026-06-13T20:26:29Z,2026-06-13T18:15:26Z,0,0,MIT,https://github.com/mrdoob/three.js
858127,pandas-dev/pandas,548,137.0,538,952.0,7.0,1,Python,alignment|data-analysis|data-science|flexible|pandas|python,48974,20012,48974,3213,2010-08-24T01:37:33Z,2026-06-13T18:29:12Z,2026-06-11T22:16:14Z,0,0,BSD-3-Clause,https://github.com/pandas-dev/pandas
931135,Leaflet/Leaflet,1500,1500.0,1500,0.0,0.0,0,JavaScript,javascript|leaflet|maps,45192,6134,45192,547,2010-09-22T16:57:44Z,2026-06-13T18:36:04Z,2026-06-12T15:33:26Z,0,0,BSD-2-Clause,https://github.com/Leaflet/Leaflet
1362490,psf/requests,1500,1500.0,1500,0.0,0.0,0,Python,client|cookies|forhumans|http|humans|python|python-requests|requests,54038,9969,54038,229,2011-02-13T18:38:17Z,2026-06-13T18:40:24Z,2026-06-09T15:46:02Z,0,0,Apache-2.0,https://github.com/psf/requests
1644196,JuliaLang/julia,1097,274.25,1068,403.0,6.948275862068965,0,Julia,hacktoberfest|hpc|julia|julia-language|julialang|machine-learning|numerical|programming-language|science|scientific,48838,5790,48838,4712,2011-04-21T07:01:50Z,2026-06-13T18:35:17Z,2026-06-13T16:59:44Z,0,0,MIT,https://github.com/JuliaLang/julia
2126244,twbs/bootstrap,1500,1500.0,1500,0.0,0.0,0,MDX,bootstrap|css|css-framework|html|javascript|sass|scss,174317,78823,174317,447,2011-07-29T21:19:00Z,2026-06-13T20:21:08Z,2026-06-13T05:37:00Z,0,0,MIT,https://github.com/twbs/bootstrap
3214406,meteor/meteor,1500,1500.0,1500,0.0,0.0,0,JavaScript,build-system|framework|hacktoberfest|javascript|meteor|mongodb|nodejs|npm|react|reactive-programming|realtime|rpc|zero-configuration,44780,5247,44780,397,2012-01-19T01:58:17Z,2026-06-13T05:56:20Z,2026-06-12T18:21:27Z,0,0,NOASSERTION,https://github.com/meteor/meteor
4164482,django/django,1500,1500.0,1500,0.0,0.0,0,Python,apps|django|framework|models|orm|python|templates|views|web,87853,33855,87853,450,2012-04-28T02:47:18Z,2026-06-13T20:36:01Z,2026-06-11T20:27:10Z,0,0,BSD-3-Clause,https://github.com/django/django
5108051,opencv/opencv,289,72.25,274,1211.0,18.074626865671643,1,C++,c-plus-plus|computer-vision|deep-learning|image-processing|opencv,89055,56652,89055,2724,2012-07-19T09:40:17Z,2026-06-13T20:55:32Z,2026-06-11T18:00:04Z,0,0,Apache-2.0,https://github.com/opencv/opencv
5625464,pyenv/pyenv,46,11.5,36,1454.0,17.105882352941176,1,Shell,python|shell,44885,3250,44885,56,2012-08-31T06:57:52Z,2026-06-13T14:25:02Z,2026-06-12T12:34:14Z,0,0,MIT,https://github.com/pyenv/pyenv
