repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url,topic_count,has_ai_topic,has_ml_topic,has_deep_learning_topic,has_data_science_topic,has_web_topic,has_llm_topic,early_to_total_star_ratio,early_peak_to_average_ratio,forks_per_star,issues_per_star
576201,mrdoob/three.js,1500,1500.0,1500,0.0,0.0,0,JavaScript,3d|augmented-reality|canvas|html5|javascript|svg|virtual-reality|webaudio|webgl|webgl2|webgpu|webxr,113027,36383,113027,428,2010-03-23T18:58:01Z,2026-06-13T20:26:29Z,2026-06-13T18:15:26Z,0,0,MIT,https://github.com/mrdoob/three.js,1,0,1,0,0,1,0,0.013271047881940758,0.9993337774816788,0.3218936900591004,0.0037866723289804297
858127,pandas-dev/pandas,548,137.0,538,952.0,7.0,1,Python,alignment|data-analysis|data-science|flexible|pandas|python,48974,20012,48974,3213,2010-08-24T01:37:33Z,2026-06-13T18:29:12Z,2026-06-11T22:16:14Z,0,0,BSD-3-Clause,https://github.com/pandas-dev/pandas,1,0,0,0,1,0,0,0.011189382337927514,3.898550724637681,0.40861664114344054,0.06560490045941807
931135,Leaflet/Leaflet,1500,1500.0,1500,0.0,0.0,0,JavaScript,javascript|leaflet|maps,45192,6134,45192,547,2010-09-22T16:57:44Z,2026-06-13T18:36:04Z,2026-06-12T15:33:26Z,0,0,BSD-2-Clause,https://github.com/Leaflet/Leaflet,1,0,0,0,0,1,0,0.03319098090412232,0.9993337774816788,0.13572898457725754,0.012103644369703273
1362490,psf/requests,1500,1500.0,1500,0.0,0.0,0,Python,client|cookies|forhumans|http|humans|python|python-requests|requests,54038,9969,54038,229,2011-02-13T18:38:17Z,2026-06-13T18:40:24Z,2026-06-09T15:46:02Z,0,0,Apache-2.0,https://github.com/psf/requests,1,0,0,0,0,0,0,0.027757730527952034,0.9993337774816788,0.18447787708876923,0.004237680193934011
1644196,JuliaLang/julia,1097,274.25,1068,403.0,6.948275862068965,0,Julia,hacktoberfest|hpc|julia|julia-language|julialang|machine-learning|numerical|programming-language|science|scientific,48838,5790,48838,4712,2011-04-21T07:01:50Z,2026-06-13T18:35:17Z,2026-06-13T16:59:44Z,0,0,MIT,https://github.com/JuliaLang/julia,1,0,1,0,0,0,0,0.022461557361944346,3.880108991825613,0.1185527959212924,0.09648027191383934
2126244,twbs/bootstrap,1500,1500.0,1500,0.0,0.0,0,MDX,bootstrap|css|css-framework|html|javascript|sass|scss,174317,78823,174317,447,2011-07-29T21:19:00Z,2026-06-13T20:21:08Z,2026-06-13T05:37:00Z,0,0,MIT,https://github.com/twbs/bootstrap,1,0,1,0,0,1,0,0.008604963342856159,0.9993337774816788,0.452179350382634,0.0025642790761711354
3214406,meteor/meteor,1500,1500.0,1500,0.0,0.0,0,JavaScript,build-system|framework|hacktoberfest|javascript|meteor|mongodb|nodejs|npm|react|reactive-programming|realtime|rpc|zero-configuration,44780,5247,44780,397,2012-01-19T01:58:17Z,2026-06-13T05:56:20Z,2026-06-12T18:21:27Z,0,0,NOASSERTION,https://github.com/meteor/meteor,1,0,0,0,0,1,0,0.033496348897970124,0.9993337774816788,0.11717022844509949,0.008865367008329425
4164482,django/django,1500,1500.0,1500,0.0,0.0,0,Python,apps|django|framework|models|orm|python|templates|views|web,87853,33855,87853,450,2012-04-28T02:47:18Z,2026-06-13T20:36:01Z,2026-06-11T20:27:10Z,0,0,BSD-3-Clause,https://github.com/django/django,1,0,0,0,0,1,0,0.01707378150112687,0.9993337774816788,0.38535524848043345,0.005122134450338061
5108051,opencv/opencv,289,72.25,274,1211.0,18.074626865671643,1,C++,c-plus-plus|computer-vision|deep-learning|image-processing|opencv,89055,56652,89055,2724,2012-07-19T09:40:17Z,2026-06-13T20:55:32Z,2026-06-11T18:00:04Z,0,0,Apache-2.0,https://github.com/opencv/opencv,1,0,0,1,0,0,0,0.0032451491196550486,3.74061433447099,0.6361390585698886,0.030587495508444126
5625464,pyenv/pyenv,46,11.5,36,1454.0,17.105882352941176,1,Shell,python|shell,44885,3250,44885,56,2012-08-31T06:57:52Z,2026-06-13T14:25:02Z,2026-06-12T12:34:14Z,0,0,MIT,https://github.com/pyenv/pyenv,1,0,0,0,0,0,0,0.0010248184289087911,2.88,0.0724056498685559,0.0012476050438889631
6498492,airbnb/javascript,1315,328.75,1301,185.0,12.333333333333334,0,JavaScript,arrow-functions|es2015|es2016|es2017|es2018|es6|eslint|javascript|linting|naming-conventions|style-guide|style-linter|styleguide|tc39,148085,26651,148085,159,2012-11-01T23:13:50Z,2026-06-13T18:37:32Z,2026-04-16T19:24:09Z,0,0,MIT,https://github.com/airbnb/javascript,1,0,0,0,0,1,0,0.008879975149575246,3.9454131918119786,0.17996974730899612,0.0010737004173250679
7569578,discourse/discourse,1500,1500.0,1500,0.0,0.0,0,Ruby,discourse|ember|forum|javascript|postgresql|rails|ruby,47256,8934,47256,163,2013-01-12T00:25:55Z,2026-06-13T17:20:02Z,2026-06-12T23:15:33Z,0,0,GPL-2.0,https://github.com/discourse/discourse,1,1,0,0,0,1,0,0.03174132932687221,0.9993337774816788,0.1890513574708509,0.0034492244535201133
7741856,pixijs/pixijs,1026,256.5,790,474.0,118.5,0,TypeScript,canvas|canvas2d|data-visualization|game|glsl|javascript|pixi|pixijs|renderer|rendering|rendering-2d-graphics|rendering-engine|webgl,47397,5029,47397,331,2013-01-21T22:40:50Z,2026-06-13T14:51:30Z,2026-06-09T12:53:40Z,0,0,MIT,https://github.com/pixijs/pixijs,1,0,0,0,0,1,0,0.021646482973965146,3.0679611650485437,0.1061015232710241,0.006983417021815266
