repo_id,full_name,owner,owner_id,repo_name,description,language,topics,stars_count,forks_count,watchers_count,open_issues_count,size,created_at,updated_at,pushed_at,default_branch,archived,disabled,is_fork,license,html_url,source_topic,collected_at
45717250,tensorflow/tensorflow,tensorflow,15658638,tensorflow,An Open Source Machine Learning Framework for Everyone,C++,deep-learning|deep-neural-networks|distributed|machine-learning|ml|neural-network|python|tensorflow,195642,75177,195642,3413,1332652,2015-11-07T01:19:20Z,2026-06-13T20:35:28Z,2026-06-13T20:35:19Z,master,False,False,False,Apache-2.0,https://github.com/tensorflow/tensorflow,machine-learning,2026-06-13T20:45:44.182596+00:00
574523116,f/prompts.chat,f,196477,prompts.chat,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy.",HTML,ai|artificial-intelligence|awesome-list|chatgpt|chatgpt-prompts|claude|gemini|gpt|gpt-4|llm|machine-learning|nextjs|open-source|openai|prompt-engineering|prompts|prompts-chat|typescript,163673,21224,163673,50,387067,2022-12-05T13:54:13Z,2026-06-13T20:44:47Z,2026-06-13T04:34:29Z,main,False,False,False,NOASSERTION,https://github.com/f/prompts.chat,machine-learning,2026-06-13T20:45:44.182633+00:00
155220641,huggingface/transformers,huggingface,25720743,transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,audio|deep-learning|deepseek|gemma|glm|hacktoberfest|llm|machine-learning|model-hub|natural-language-processing|nlp|pretrained-models|python|pytorch|pytorch-transformers|qwen|speech-recognition|transformer|vlm,161564,33496,161564,2435,505563,2018-10-29T13:56:00Z,2026-06-13T20:11:21Z,2026-06-13T18:11:29Z,main,False,False,False,Apache-2.0,https://github.com/huggingface/transformers,machine-learning,2026-06-13T20:45:44.182645+00:00
65600975,pytorch/pytorch,pytorch,21003710,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,autograd|deep-learning|gpu|machine-learning|neural-network|numpy|python|tensor,100728,28009,100728,18394,1415851,2016-08-13T05:26:41Z,2026-06-13T20:23:28Z,2026-06-13T20:38:59Z,main,False,False,False,NOASSERTION,https://github.com/pytorch/pytorch,machine-learning,2026-06-13T20:45:44.182669+00:00
669879380,rasbt/LLMs-from-scratch,rasbt,5618407,LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step",Jupyter Notebook,ai|artificial-intelligence|attention-mechanism|deep-learning|finetuning|from-scratch|generative-ai|gpt|instruction-tuning|language-model|large-language-models|llm|machine-learning|natural-language-processing|pretraining|python|pytorch|tokenizer|transformers,97103,14853,97103,3,16090,2023-07-23T18:15:57Z,2026-06-13T20:37:46Z,2026-06-02T14:14:19Z,main,False,False,False,NOASSERTION,https://github.com/rasbt/LLMs-from-scratch,machine-learning,2026-06-13T20:45:44.182677+00:00
343965132,microsoft/ML-For-Beginners,microsoft,6154722,ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",Jupyter Notebook,data-science|education|machine-learning|machine-learning-algorithms|machinelearning|machinelearning-python|microsoft-for-beginners|ml|python|r|scikit-learn|scikit-learn-python,86796,21068,86796,11,2229246,2021-03-03T01:34:05Z,2026-06-13T20:39:05Z,2026-06-09T14:40:21Z,main,False,False,False,MIT,https://github.com/microsoft/ML-For-Beginners,machine-learning,2026-06-13T20:45:44.182683+00:00
71583602,Developer-Y/cs-video-courses,Developer-Y,22699926,cs-video-courses,List of Computer Science courses with video lectures.,,algorithms|bioinformatics|computational-biology|computational-physics|computer-architecture|computer-science|computer-vision|database-systems|databases|deep-learning|embedded-systems|machine-learning|quantum-computing|reinforcement-learning|robotics|security|systems|web-development,81786,11301,81786,2,725,2016-10-21T17:02:11Z,2026-06-13T20:34:43Z,2026-06-13T15:50:10Z,master,False,False,False,,https://github.com/Developer-Y/cs-video-courses,machine-learning,2026-06-13T20:45:44.182689+00:00
655099582,mlabonne/llm-course,mlabonne,81252890,llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,,course|large-language-models|llm|machine-learning|roadmap,80097,9325,80097,84,7637,2023-06-17T22:16:25Z,2026-06-13T20:37:02Z,2026-02-05T13:09:26Z,main,False,False,False,Apache-2.0,https://github.com/mlabonne/llm-course,machine-learning,2026-06-13T20:45:44.182695+00:00
10744183,netdata/netdata,netdata,43390781,netdata,"The fastest path to AI-powered full stack observability, even for lean teams.",C,ai|alerting|cncf|data-visualization|database|devops|docker|grafana|influxdb|kubernetes|linux|machine-learning|mcp|mongodb|monitoring|mysql|netdata|observability|postgresql|prometheus,79143,6450,79143,336,283501,2013-06-17T18:39:10Z,2026-06-13T19:59:34Z,2026-06-13T08:41:04Z,master,False,False,False,GPL-3.0,https://github.com/netdata/netdata,machine-learning,2026-06-13T20:45:44.182701+00:00
101138315,d2l-ai/d2l-zh,d2l-ai,43974506,d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,Python,book|chinese|computer-vision|deep-learning|machine-learning|natural-language-processing|notebook|python,78314,12267,78314,130,316965,2017-08-23T04:40:24Z,2026-06-13T19:08:15Z,2024-07-30T09:32:19Z,master,False,False,False,Apache-2.0,https://github.com/d2l-ai/d2l-zh,machine-learning,2026-06-13T20:45:44.182706+00:00
