repo_id,dataset_split
19745004,development
255378816,development
3214406,development
162998479,development
265612440,development
121395510,development
1147094660,development
1106996539,development
621803253,development
33884891,development
7741856,development
552661142,development
287463830,development
101138315,development
135786093,development
10744183,development
163591278,development
4164482,development
43441403,development
39464018,development
585146387,development
5625464,development
71583602,development
612344730,development
568098118,development
364474335,development
574523116,development
112507086,development
560704231,development
12888993,development
139824423,development
9384267,development
11730342,development
155220641,development
572984571,development
7569578,development
6498492,development
522158088,development
20929025,development
156157055,development
22887094,development
83222441,development
1136590548,development
65750241,development
793375104,development
614765452,development
54173593,development
26066727,development
172562475,development
27193779,development
671269505,development
67274736,development
204086862,development
74791366,development
23083156,development
1644196,development
599547518,development
160919119,development
311525798,development
701547123,development
576201,development
787076358,development
32689863,development
357728969,development
135614069,development
695864515,development
63537249,development
542284380,development
107111421,development
1048065319,development
658928958,development
9852918,development
615869301,development
266417772,development
10270250,development
58028038,development
699532645,development
33614304,development
88011908,development
159152904,development
1024554267,development
909213664,development
343965132,development
35866694,development
24195339,development
80945428,development
229764465,development
453717720,development
70107786,development
771302083,development
110058856,development
14440270,development
22670857,development
29028775,development
969302809,development
34526884,development
15062869,development
626805178,development
599320067,development
2126244,development
344190478,development
202367615,development
307260205,development
65600975,development
655099582,development
589831718,development
274495425,development
91629816,development
126577260,development
109343098,development
28457823,development
212639071,development
365739812,development
103633984,development
5108051,development
834369920,development
23088740,test
207645083,test
669879380,test
881458615,test
527591471,test
62367558,test
192925833,test
455229168,test
133442384,test
655806940,test
21289110,test
1362490,test
61893399,test
523043277,test
14098069,test
12256376,test
931135,test
221981891,test
47018239,test
997737944,test
45717250,test
65388917,test
770153867,test
579082810,test
208728772,test
75104123,test
63476337,test
79162682,test
858127,test
