forecast_horizon_weeks,minimum_history_weeks,valid_samples,eligible_repositories,mean_future_stars,median_future_stars
1,1,1999,123,76.57078539269635,19.0
1,2,1894,104,66.86536430834214,19.0
1,4,1721,82,55.715862870424175,18.0
1,8,1446,65,48.511756569847854,18.0
2,1,1826,100,113.07393209200438,41.0
2,2,1748,92,101.41247139588101,41.0
2,4,1607,77,89.65961418792782,40.0
2,8,1360,61,78.51470588235294,39.0
4,1,1590,76,157.4452830188679,84.0
4,2,1537,73,150.4586857514639,83.0
4,4,1423,65,141.40407589599437,82.0
4,8,1214,53,126.89291598023064,80.0
