rank,feature,unique_values,direct_auc,predictive_auc,auc_direction,best_threshold_accuracy,best_threshold,threshold_direction,class_0_mean,class_1_mean
1,early_4week_stars,72,0.0,1.0,lower_values_predict_class_1,1.0,0.30594227893057074,class_1_if_value_below_threshold,0.9633186352061802,-0.9501224895184242
2,early_avg_weekly_stars,75,0.0,1.0,lower_values_predict_class_1,1.0,-0.3126794253947815,class_1_if_value_below_threshold,0.7611570552191003,-0.750730246243496
3,early_max_weekly_stars,98,0.0007610350076103504,0.9992389649923896,lower_values_predict_class_1,0.993103448275862,-0.1857249526024077,class_1_if_value_below_threshold,0.9317231352607838,-0.918959804640773
4,has_web_topic,2,0.41333713850837134,0.5866628614916287,lower_values_predict_class_1,0.5862068965517241,-0.13217411292886644,class_1_if_value_below_threshold,0.1760389135646158,-0.17362742159797734
5,language_grouped_JavaScript,2,0.4436834094368341,0.556316590563166,lower_values_predict_class_1,0.5586206896551724,0.9000019130680615,class_1_if_value_below_threshold,0.15257764391073675,-0.15048753919963062
6,license_grouped_Apache-2.0,2,0.5470890410958904,0.5470890410958904,higher_values_predict_class_1,0.5448275862068965,0.8672273827165129,class_1_if_value_at_least_threshold,-0.12551975276160057,0.12380030409363339
7,language_grouped_Python,2,0.5461377473363775,0.5461377473363775,higher_values_predict_class_1,0.5448275862068965,0.40994579587496155,class_1_if_value_at_least_threshold,-0.10041601565624048,0.09904045379793597
8,has_ml_topic,2,0.4570015220700152,0.5429984779299848,lower_values_predict_class_1,0.5448275862068965,0.626700125390774,class_1_if_value_below_threshold,0.1021891979352922,-0.10078934590878127
9,has_ai_topic,2,0.4632800608828006,0.5367199391171994,lower_values_predict_class_1,0.5379310344827586,0.3757320254228463,class_1_if_value_below_threshold,0.07899377005077277,-0.07791166361172089
10,license_grouped_NOASSERTION,2,0.4643264840182649,0.5356735159817352,lower_values_predict_class_1,0.5379310344827586,0.8672273827165129,class_1_if_value_below_threshold,0.09509072178909132,-0.09378810916184355
11,has_deep_learning_topic,2,0.5337709284627093,0.5337709284627093,higher_values_predict_class_1,0.5310344827586206,1.302118589266285,class_1_if_value_at_least_threshold,-0.11165509642259212,0.11012557455378941
12,license_grouped_MIT,2,0.46927321156773205,0.530726788432268,lower_values_predict_class_1,0.5310344827586206,0.0900176856850648,class_1_if_value_below_threshold,0.06212759076127336,-0.06127652787413268
13,license_grouped_GPL-3.0,2,0.5273972602739726,0.5273972602739726,higher_values_predict_class_1,0.5241379310344828,2.884370329652827,class_1_if_value_at_least_threshold,-0.1684303842133037,0.16612311867613527
14,early_peak_to_average_ratio,115,0.47412480974124804,0.525875190258752,lower_values_predict_class_1,0.5655172413793104,-1.1478842276282641,class_1_if_value_below_threshold,0.07674791618078068,-0.07569657486323546
15,license_grouped_No License,2,0.47888127853881274,0.5211187214611872,lower_values_predict_class_1,0.5241379310344828,1.8150266927582186,class_1_if_value_below_threshold,0.08813121736490043,-0.08692394041469616
16,has_data_science_topic,2,0.5203576864535769,0.5203576864535769,higher_values_predict_class_1,0.5172413793103449,2.107427955587502,class_1_if_value_at_least_threshold,-0.09562968246304603,0.0943196868128675
17,language_grouped_TypeScript,2,0.5191210045662101,0.5191210045662101,higher_values_predict_class_1,0.5172413793103449,0.6497272987727718,class_1_if_value_at_least_threshold,-0.04591954537740054,0.045290510509216966
18,has_llm_topic,2,0.4916286149162861,0.5083713850837139,lower_values_predict_class_1,0.5103448275862069,0.6980954768869574,class_1_if_value_below_threshold,0.0205597061466039,-0.020278066336376285
19,language_grouped_Other,2,0.4925799086757991,0.5074200913242009,lower_values_predict_class_1,0.5103448275862069,1.6018667027921665,class_1_if_value_below_threshold,0.02821716414132553,-0.02783062764623869
20,language_grouped_Rust,2,0.49286529680365304,0.5071347031963469,lower_values_predict_class_1,0.5103448275862069,2.5512601928122836,class_1_if_value_below_threshold,0.03937129927179464,-0.03883196640505745
21,language_grouped_MDX,2,0.4929604261796043,0.5070395738203957,lower_values_predict_class_1,0.5103448275862069,3.3672860026249887,class_1_if_value_below_threshold,0.04979599604201622,-0.049113859109933745
22,archived,2,0.4930555555555556,0.5069444444444444,lower_values_predict_class_1,0.5103448275862069,5.958333333333333,class_1_if_value_below_threshold,0.08449074074074073,-0.08333333333333329
23,language_grouped_C++,2,0.5066590563165906,0.5066590563165906,higher_values_predict_class_1,0.503448275862069,-0.1889822375046135,class_1_if_value_at_least_threshold,-0.03674654598700806,0.036243168644720485
24,license_grouped_AGPL-3.0,2,0.5066590563165906,0.5066590563165906,higher_values_predict_class_1,0.503448275862069,-0.1889822375046135,class_1_if_value_at_least_threshold,-0.03674654598700806,0.03624316864472056
25,license_grouped_Other,2,0.5063736681887366,0.5063736681887366,higher_values_predict_class_1,0.503448275862069,-0.28651274458884274,class_1_if_value_at_least_threshold,-0.024237820480369168,0.023905795542282154
26,language_grouped_Unknown,2,0.5062785388127854,0.5062785388127854,higher_values_predict_class_1,0.503448275862069,-0.31382295823042383,class_1_if_value_at_least_threshold,-0.02212854185599135,0.021825411145635465
27,language_grouped_Jupyter Notebook,2,0.4997146118721461,0.500285388127854,lower_values_predict_class_1,0.503448275862069,-0.2077630093193331,class_1_if_value_at_least_threshold,0.0014427986688843042,-0.0014230343035569934
28,is_fork,1,,,constant,,,constant,0.0,0.0
29,topic_count,1,,,constant,,,constant,0.0,0.0
