model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__strategy,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_test_cohen_kappa,split1_test_cohen_kappa,split2_test_cohen_kappa,mean_test_cohen_kappa,std_test_cohen_kappa,rank_test_cohen_kappa,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,split0_test_neg_brier_score,split1_test_neg_brier_score,split2_test_neg_brier_score,mean_test_neg_brier_score,std_test_neg_brier_score,rank_test_neg_brier_score,params_json,param_model__C,param_model__class_weight,param_model__l1_ratio,param_model__n_neighbors,param_model__p,param_model__weights,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__learning_rate,param_model__n_estimators,param_model__subsample,param_model__l2_regularization,param_model__max_iter,param_model__max_leaf_nodes,param_model__colsample_bytree,param_model__scale_pos_weight
dummy,0.007330497105916341,0.00019454822950177935,0.012864112854003906,4.552234262414026e-05,prior,{'model__strategy': 'prior'},0.5,0.5,0.5,0.5,0.0,1,0.2727272727272727,0.3181818181818182,0.2727272727272727,0.28787878787878785,0.021427478217774173,1,0.7272727272727273,0.6818181818181818,0.7272727272727273,0.7121212121212123,0.0214274782177742,1,0.5,0.5,0.5,0.5,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,-0.586641471686562,-0.6359989221069983,-0.5874083622909203,-0.6033495853614935,0.0230886902001938,1,-0.19861335245950637,-0.22112315377540534,-0.19890287534929882,-0.20621312719473683,0.0105436434358372,1,"{""model__strategy"": ""prior""}",,,,,,,,,,,,,,,,,
logistic_regression,0.011207342147827148,0.0048118609908855735,0.022327979405721027,0.005194111296220887,,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.7395833333333334,0.5523809523809524,0.6041666666666666,0.6320436507936508,0.07892624211491041,21,0.5734427609427609,0.38790516206482595,0.3959986772486772,0.452448866752088,0.08561938281555806,23,0.7727272727272727,0.6818181818181818,0.7272727272727273,0.7272727272727272,0.03711348095126028,1,0.5833333333333334,0.5,0.5,0.5277777777777778,0.039283710065919325,20,1.0,0.0,0.0,0.3333333333333333,0.4714045207910317,20,0.16666666666666666,0.0,0.0,0.05555555555555555,0.07856742013183861,21,0.2857142857142857,0.0,0.0,0.09523809523809523,0.13468700594029476,21,0.3563483225498992,0.0,0.0,0.11878277418329973,0.1679842102263232,16,0.22535211267605637,0.0,0.0,0.0751173708920188,0.10623200468530292,20,-0.5631973065420742,-0.7663264497848362,-0.6590173294522078,-0.6628470285930393,0.08297132900493034,14,-0.18812465281741544,-0.24953085626586083,-0.20630124061003288,-0.21465224989776974,0.0257550638720604,20,"{""model__C"": 0.01, ""model__class_weight"": null, ""model__l1_ratio"": 0.0}",0.01,,0.0,,,,,,,,,,,,,,
logistic_regression,0.014842907587687174,0.007890259436710942,0.017243385314941406,0.004392792208580929,,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.5}",0.6875,0.5809523809523809,0.625,0.6311507936507936,0.04371477994210596,22,0.538080383668619,0.44116954474097325,0.4418767507002801,0.47370889303662417,0.04551843318705052,21,0.7272727272727273,0.6818181818181818,0.7272727272727273,0.7121212121212123,0.0214274782177742,5,0.5,0.5,0.5,0.5,0.0,22,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,22,-0.5630997408966394,-0.6484746086255716,-0.5701321997587633,-0.593902183093658,0.03869518566728985,1,-0.19003654904922004,-0.22459363303311444,-0.19219128327226243,-0.20227382178486564,0.015806985808202608,1,"{""model__C"": 0.01, ""model__class_weight"": null, ""model__l1_ratio"": 0.5}",0.01,,0.5,,,,,,,,,,,,,,
logistic_regression,0.010246038436889648,0.004946266828209948,0.01867961883544922,0.0064007415576892105,,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.5,0.5,0.5,0.5,0.0,24,0.2727272727272727,0.3181818181818182,0.2727272727272727,0.28787878787878785,0.021427478217774173,24,0.7272727272727273,0.6818181818181818,0.7272727272727273,0.7121212121212123,0.0214274782177742,5,0.5,0.5,0.5,0.5,0.0,22,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,22,-0.586600162141277,-0.6351845669032027,-0.5859843966664264,-0.602589708570302,0.023049416248376763,3,-0.19859759016020825,-0.22081395554166602,-0.19835964508962184,-0.20592373026383204,0.010529427369128824,3,"{""model__C"": 0.01, ""model__class_weight"": null, ""model__l1_ratio"": 1.0}",0.01,,1.0,,,,,,,,,,,,,,
logistic_regression,0.006351153055826823,0.0008404564870555056,0.04165832201639811,0.01682446997841013,,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.7708333333333333,0.5619047619047619,0.6145833333333333,0.6491071428571428,0.08871943439037891,20,0.5944444444444444,0.39742897158863544,0.3994708994708994,0.4637814385013264,0.0923964581173166,22,0.7272727272727273,0.6363636363636364,0.6818181818181818,0.6818181818181818,0.03711348095126028,12,0.65625,0.5809523809523809,0.5729166666666666,0.6033730158730158,0.03753331643393115,1,0.5,0.42857142857142855,0.4,0.4428571428571429,0.042056004125370694,8,0.5,0.42857142857142855,0.3333333333333333,0.42063492063492064,0.06827242275430657,1,0.5,0.42857142857142855,0.36363636363636365,0.4307359307359307,0.055691256840989634,1,0.3125,0.1619047619047619,0.15498260496951669,0.20979578895809284,0.07267780627979213,4,0.3125,0.16190476190476188,0.15384615384615397,0.20941697191697195,0.07296491531339029,1,-0.5301170835777441,-0.6968878375211397,-0.6077103981926048,-0.6115717730971628,0.06813860264112315,5,-0.1824550699587445,-0.24636022515797082,-0.20160734958092796,-0.2101408815658811,0.026777890025951937,11,"{""model__C"": 0.01, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.0}",0.01,balanced,0.0,,,,,,,,,,,,,,
logistic_regression,0.020067691802978516,0.018558372840033567,0.03190040588378906,0.01334431381846692,,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5}",0.7604166666666666,0.6095238095238096,0.6354166666666666,0.6684523809523809,0.06588212907892993,18,0.574963924963925,0.4285645027241666,0.44494047619047616,0.48282296795952256,0.0654955982999757,19,0.6818181818181818,0.5909090909090909,0.6818181818181818,0.6515151515151515,0.0428549564355483,21,0.5729166666666666,0.5095238095238095,0.5729166666666666,0.5517857142857142,0.0298836794430029,16,0.4,0.3333333333333333,0.4,0.37777777777777777,0.03142696805273547,16,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.31746031746031744,0.022447834323382456,9,0.36363636363636365,0.3076923076923077,0.36363636363636365,0.344988344988345,0.026372280883414357,11,0.15498260496951669,0.019920476822239894,0.15498260496951669,0.10996189558709109,0.06366889779628393,17,0.15384615384615397,0.01980198019801982,0.15384615384615397,0.10916476263010925,0.06318902944342851,16,-0.571241829117123,-0.6384446999328021,-0.5751657654955701,-0.5949507648484983,0.030796548627118843,2,-0.1932749581561734,-0.22402529945722238,-0.19381274987391806,-0.20370433582910463,0.014370768410547448,2,"{""model__C"": 0.01, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 0.5}",0.01,balanced,0.5,,,,,,,,,,,,,,
logistic_regression,0.00618290901184082,0.0019556491254939996,0.019586642583211262,0.008989999952242412,,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.59375,0.5523809523809524,0.6666666666666667,0.6042658730158731,0.04724576743944694,23,0.4928571428571429,0.48673469387755103,0.553968253968254,0.5111866969009826,0.030354212384248236,13,0.5909090909090909,0.5454545454545454,0.7272727272727273,0.6212121212121212,0.07725787141807251,24,0.5104166666666666,0.47619047619047616,0.65625,0.5476190476190476,0.07807419928086648,19,0.2857142857142857,0.2857142857142857,0.5,0.35714285714285715,0.10101525445522108,19,0.3333333333333333,0.2857142857142857,0.5,0.373015873015873,0.09187172145071609,2,0.3076923076923077,0.2857142857142857,0.5,0.3644688644688645,0.09625409042835834,8,0.019920476822239894,-0.047619047619047616,0.3125,0.09493380973439743,0.15629391585610983,20,0.01980198019801982,-0.04761904761904767,0.3125,0.09489431085965738,0.15631288218966477,19,-0.6844196736459449,-0.6815399133783606,-0.6622133608532995,-0.676057649292535,0.009859732808795298,16,-0.24563849178388616,-0.24420898520623038,-0.2345834078667216,-0.24147696161894605,0.004909289477782306,24,"{""model__C"": 0.01, ""model__class_weight"": ""balanced"", ""model__l1_ratio"": 1.0}",0.01,balanced,1.0,,,,,,,,,,,,,,
logistic_regression,0.018375396728515625,0.005048129569304989,0.02847886085510254,0.004206532158324192,,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.7916666666666666,0.6190476190476191,0.6770833333333333,0.6959325396825395,0.07172077028412795,13,0.6047008547008548,0.4346043680630146,0.45934065934065926,0.4995486273681762,0.07503649872477883,14,0.7727272727272727,0.6818181818181818,0.7272727272727273,0.7272727272727272,0.03711348095126028,1,0.6354166666666666,0.5380952380952381,0.5520833333333334,0.5751984126984127,0.04296196213191661,12,0.6666666666666666,0.5,0.5,0.5555555555555555,0.0785674201318386,1,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.21428571428571427,0.08473871628596279,17,0.4444444444444444,0.2222222222222222,0.25,0.3055555555555555,0.09886183566695658,17,0.35147974578331886,0.12344267996967354,0.1613743060919757,0.21209891061498934,0.09976627678140647,2,0.32098765432098764,0.09411764705882342,0.1315789473684209,0.1822280829160773,0.09930257213042458,3,-0.5901302056935033,-0.8459413974446829,-0.6771045042336515,-0.7043920357906126,0.1062020040305072,18,-0.19143976125774173,-0.25328294110280525,-0.2027211131040449,-0.21581460515486395,0.026891440694030808,21,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__l1_ratio"": 0.0}",0.1,,0.0,,,,,,,,,,,,,,
logistic_regression,0.009351253509521484,0.0030309820858483725,0.017211039861043293,0.0015790548270274121,,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.5}",0.78125,0.5619047619047619,0.6458333333333333,0.6629960317460317,0.09036593027377852,19,0.5992063492063492,0.3984900020614307,0.4484126984126984,0.48203634989349275,0.08532164812041668,20,0.7272727272727273,0.6818181818181818,0.6818181818181818,0.6969696969696969,0.0214274782177742,11,0.5520833333333334,0.5380952380952381,0.46875,0.5196428571428572,0.036436967338313205,21,0.5,0.5,0.0,0.3333333333333333,0.23570226039551584,20,0.16666666666666666,0.14285714285714285,0.0,0.10317460317460318,0.07360014678964844,20,0.25,0.2222222222222222,0.0,0.1574074074074074,0.11188005531106085,20,0.1613743060919757,0.12344267996967354,-0.1336306209562122,0.05039545503514568,0.13104426618170747,21,0.1315789473684209,0.09411764705882342,-0.08450704225352101,0.04706318405790777,0.09428283899682523,21,-0.5814106798954183,-0.8466003255755116,-0.6675019625719051,-0.698504322680945,0.11046039046714527,17,-0.19094758403008702,-0.25861115397953677,-0.20425367533144367,-0.21793747111368914,0.02926914615351427,23,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__l1_ratio"": 0.5}",0.1,,0.5,,,,,,,,,,,,,,
logistic_regression,0.14282425244649252,0.18557273612883643,0.030083974202473957,0.012942232657901469,,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.8020833333333333,0.5809523809523809,0.6875,0.6901785714285714,0.09029619993443883,14,0.613960113960114,0.40695278111244504,0.4619722382880277,0.49429504445352884,0.08754648979060904,16,0.7272727272727273,0.6363636363636364,0.6818181818181818,0.6818181818181818,0.03711348095126028,12,0.5520833333333334,0.4666666666666667,0.46875,0.49583333333333335,0.03978384885389586,24,0.5,0.0,0.0,0.16666666666666666,0.23570226039551584,22,0.16666666666666666,0.0,0.0,0.05555555555555555,0.07856742013183861,21,0.25,0.0,0.0,0.08333333333333333,0.11785113019775792,22,0.1613743060919757,-0.14907119849998599,-0.1336306209562122,-0.040442504454740826,0.14284518804906304,24,0.1315789473684209,-0.08641975308641969,-0.08450704225352101,-0.013115949323839934,0.1023177223562976,24,-0.5664787135517126,-0.8098213394222238,-0.6380457649109327,-0.671448605961623,0.10211340341039843,15,-0.18906135788025358,-0.2555148807451396,-0.20293308401871826,-0.21583644088137047,0.028622719868805838,22,"{""model__C"": 0.1, ""model__class_weight"": null, ""model__l1_ratio"": 1.0}",0.1,,1.0,,,,,,,,,,,,,,
