candidate,split,feature,direct_auc,predictive_auc,best_single_threshold_accuracy
absolute_q75,train,rolling_3week_mean_stars,0.83449029230703,0.83449029230703,0.8128571428571428
absolute_q75,validation,rolling_3week_mean_stars,0.9105312208760485,0.9105312208760485,0.8484848484848485
absolute_q80,train,rolling_3week_mean_stars,0.8298689989398758,0.8298689989398758,0.8442857142857143
absolute_q80,validation,rolling_3week_mean_stars,0.9166666666666666,0.9166666666666666,0.8484848484848485
absolute_q85,train,rolling_3week_mean_stars,0.8158894264865801,0.8158894264865801,0.8685714285714285
absolute_q85,validation,rolling_3week_mean_stars,0.9317972350230416,0.9317972350230416,0.8787878787878788
absolute_q90,train,weekly_new_stars,0.7657918896527016,0.7657918896527016,0.9042857142857142
absolute_q90,validation,rolling_3week_mean_stars,0.88,0.88,0.8333333333333334
hybrid_q75_relative_1_10,train,weekly_new_stars,0.6742525728514918,0.6742525728514918,0.8457142857142858
hybrid_q75_relative_1_10,validation,rolling_3week_mean_stars,0.7210743801652892,0.7210743801652892,0.696969696969697
hybrid_q80_relative_1_10,train,weekly_new_stars,0.6962338402692215,0.6962338402692215,0.8714285714285714
hybrid_q80_relative_1_10,validation,rolling_3week_mean_stars,0.7210743801652892,0.7210743801652892,0.696969696969697
hybrid_q80_relative_1_25,train,weekly_new_stars,0.6690885481078407,0.6690885481078407,0.8871428571428571
hybrid_q80_relative_1_25,validation,rolling_3week_mean_stars,0.6930333817126271,0.6930333817126271,0.7878787878787878
relative_growth_1_25,train,herd_momentum_score,0.3103195823784059,0.689680417621594,0.6942857142857143
relative_growth_1_25,validation,herd_momentum_score,0.26342975206611574,0.7365702479338843,0.7272727272727273
relative_growth_1_50,train,herd_momentum_score,0.27365978487161696,0.7263402151283831,0.7657142857142857
relative_growth_1_50,validation,herd_momentum_score,0.25625,0.74375,0.7878787878787878
