candidate,split,rows,positive_rows,negative_rows,positive_rate,repositories,repositories_with_positive,median_positive_rows_per_positive_repo,majority_baseline_accuracy,future_target_mean_class_0,future_target_mean_class_1
absolute_q75,train,700,178,522,0.2542857142857143,22,19,10.0,0.7457142857142858,43.434865900383144,148.48314606741573
absolute_q75,validation,66,37,29,0.5606060606060606,22,14,3.0,0.5606060606060606,51.275862068965516,192.6216216216216
absolute_q80,train,700,142,558,0.20285714285714285,22,17,9.0,0.7971428571428572,46.88172043010753,161.57042253521126
absolute_q80,validation,66,36,30,0.5454545454545454,22,13,3.0,0.5454545454545454,52.8,195.27777777777777
absolute_q85,train,700,107,593,0.15285714285714286,22,14,7.5,0.8471428571428572,50.49915682967959,179.0373831775701
absolute_q85,validation,66,31,35,0.4696969696969697,22,12,3.0,0.5303030303030303,61.05714285714286,208.93548387096774
absolute_q90,train,700,71,629,0.10142857142857142,22,13,5.0,0.8985714285714286,54.96502384737679,204.64788732394365
absolute_q90,validation,66,16,50,0.24242424242424243,22,7,3.0,0.7575757575757576,80.6,286.5
hybrid_q75_relative_1_10,train,700,107,593,0.15285714285714286,22,19,5.0,0.8471428571428572,53.433389544688026,162.77570093457945
hybrid_q75_relative_1_10,validation,66,22,44,0.3333333333333333,22,11,2.0,0.6666666666666667,79.43181818181819,232.6818181818182
hybrid_q80_relative_1_10,train,700,89,611,0.12714285714285714,22,17,5.0,0.8728571428571429,54.716857610474634,176.07865168539325
hybrid_q80_relative_1_10,validation,66,22,44,0.3333333333333333,22,11,2.0,0.6666666666666667,79.43181818181819,232.6818181818182
hybrid_q80_relative_1_25,train,700,78,622,0.11142857142857143,22,17,4.0,0.8885714285714286,55.90675241157556,183.7051282051282
hybrid_q80_relative_1_25,validation,66,13,53,0.19696969696969696,22,7,2.0,0.803030303030303,91.67924528301887,288.84615384615387
relative_growth_1_25,train,700,238,462,0.34,22,22,7.5,0.6599999999999999,57.1017316017316,95.47058823529412
relative_growth_1_25,validation,66,22,44,0.3333333333333333,22,11,2.0,0.6666666666666667,100.54545454545455,190.45454545454547
relative_growth_1_50,train,700,176,524,0.25142857142857145,22,22,6.0,0.7485714285714286,58.19847328244275,105.7215909090909
relative_growth_1_50,validation,66,16,50,0.24242424242424243,22,8,2.0,0.7575757575757576,104.18,212.8125
