model,parameters_json,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_mcc,mean_test_cohen_kappa,mean_test_neg_log_loss,mean_fit_time,std_fit_time,param_model__strategy,param_model__C,param_model__penalty,param_model__kernel,param_model__gamma,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__n_estimators,param_model__n_neighbors,param_model__p,param_model__weights,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__reg_lambda
dummy,"{""model__strategy"": ""most_frequent""}",1,0.5,0.0,0.5,0.019444069369563374,0.4826086956521739,0.5,0.19130434782608696,0.4,0.25882352941176473,0.0,0.0,-18.648672840456264,0.008542442321777343,0.00279485000110383,most_frequent,,,,,,,,,,,,,,,,
dummy,"{""model__strategy"": ""prior""}",1,0.5,0.0,0.5,0.019444069369563374,0.4826086956521739,0.5,0.19130434782608696,0.4,0.25882352941176473,0.0,0.0,-0.693567452315297,0.005512428283691406,0.003779415958549927,prior,,,,,,,,,,,,,,,,
dummy,"{""model__strategy"": ""stratified""}",3,0.48484848484848475,0.0556186510393262,0.4955254890037499,0.03043439343927834,0.48260869565217385,0.48484848484848475,0.48461538461538456,0.5015151515151515,0.4895104895104895,-0.030535240827622954,-0.03007518796992483,-18.648672840456264,0.0010114669799804687,0.0005445823266143288,stratified,,,,,,,,,,,,,,,,
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l1""}",8,0.5,0.0,0.5,0.019444069369563374,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.6931471805599453,0.003904294967651367,0.0013331542804797384,,0.01,l1,,,,,,,,,,,,,,
logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l2""}",1,1.0,0.0,1.0,0.0,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.4142038465875186,0.005946302413940429,0.0038508055906882744,,0.01,l2,,,,,,,,,,,,,,
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l1""}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9825757575757577,1.0,0.9651515151515152,0.9817805383022774,0.966544778299071,0.9651510151373843,-0.1564056383877932,0.012424230575561523,0.005006071949717341,,0.1,l1,,,,,,,,,,,,,,
logistic_regression,"{""model__C"": 0.1, ""model__penalty"": ""l2""}",1,1.0,0.0,1.0,0.0,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.15107815586650988,0.004408550262451172,0.0022956783310274743,,0.1,l2,,,,,,,,,,,,,,
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l1""}",1,1.0,0.0,1.0,0.0,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.04279419248705594,0.0035226821899414064,0.001287255371522206,,1.0,l1,,,,,,,,,,,,,,
logistic_regression,"{""model__C"": 1.0, ""model__penalty"": ""l2""}",1,1.0,0.0,1.0,0.0,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.05850305196587398,0.003398895263671875,0.001944210449625116,,1.0,l2,,,,,,,,,,,,,,
logistic_regression,"{""model__C"": 10.0, ""model__penalty"": ""l1""}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.048431186962580794,0.004734611511230469,0.0009240934180438062,,10.0,l1,,,,,,,,,,,,,,
