repo_id,became_high_growth,early_4week_stars,later_stars,collected_period_total
576201,0,1500,0.0,1500.0
858127,1,548,952.0,1500.0
931135,0,1500,0.0,1500.0
1362490,0,1500,0.0,1500.0
1644196,0,1097,403.0,1500.0
2126244,0,1500,0.0,1500.0
3214406,0,1500,0.0,1500.0
4164482,0,1500,0.0,1500.0
5108051,1,289,1211.0,1500.0
5625464,1,46,1454.0,1500.0
6498492,0,1315,185.0,1500.0
7569578,0,1500,0.0,1500.0
7741856,0,1026,474.0,1500.0
9384267,0,1500,0.0,1500.0
9852918,1,5,1495.0,1500.0
10270250,0,1325,175.0,1500.0
10744183,1,4,1496.0,1500.0
11730342,1,5,1495.0,1500.0
12256376,1,4,1496.0,1500.0
12888993,1,4,1496.0,1500.0
14098069,1,870,630.0,1500.0
14440270,0,1500,0.0,1500.0
15062869,1,1021,479.0,1500.0
19745004,1,520,980.0,1500.0
20929025,0,1500,0.0,1500.0
21289110,0,1500,0.0,1500.0
22670857,1,12,1488.0,1500.0
22887094,1,6,1494.0,1500.0
23083156,1,6,1494.0,1500.0
23088740,1,116,1384.0,1500.0
24195339,1,42,1458.0,1500.0
26066727,0,1500,0.0,1500.0
27193779,0,1500,0.0,1500.0
28457823,1,47,1453.0,1500.0
29028775,1,62,1438.0,1500.0
32689863,1,5,1495.0,1500.0
33614304,0,1500,0.0,1500.0
33884891,1,509,991.0,1500.0
34526884,0,1500,0.0,1500.0
35866694,0,1500,0.0,1500.0
39464018,1,16,1484.0,1500.0
43441403,1,47,519.0,566.0
45717250,0,1500,0.0,1500.0
47018239,0,1500,0.0,1500.0
54173593,0,1500,0.0,1500.0
58028038,1,55,1445.0,1500.0
61893399,1,92,1408.0,1500.0
62367558,0,1500,0.0,1500.0
63476337,1,254,1246.0,1500.0
63537249,0,1500,0.0,1500.0
65388917,1,165,1335.0,1500.0
65600975,1,6,1494.0,1500.0
65750241,1,120,1380.0,1500.0
67274736,0,1500,0.0,1500.0
70107786,0,1500,0.0,1500.0
71583602,0,1500,0.0,1500.0
74791366,0,1500,0.0,1500.0
75104123,1,32,1468.0,1500.0
79162682,0,1500,0.0,1500.0
80945428,1,70,1430.0,1500.0
83222441,0,1500,0.0,1500.0
88011908,0,1500,0.0,1500.0
91629816,1,4,1496.0,1500.0
101138315,1,552,948.0,1500.0
103633984,0,1500,0.0,1500.0
107111421,0,1500,0.0,1500.0
109343098,1,67,1433.0,1500.0
110058856,1,19,1481.0,1500.0
112507086,0,1500,0.0,1500.0
121395510,0,1500,0.0,1500.0
126577260,0,1500,0.0,1500.0
133442384,0,1500,0.0,1500.0
135614069,1,17,1483.0,1500.0
135786093,1,829,671.0,1500.0
139824423,1,200,1300.0,1500.0
155220641,0,1500,0.0,1500.0
156157055,0,1500,0.0,1500.0
159152904,1,155,1345.0,1500.0
160919119,1,69,1431.0,1500.0
162998479,0,1500,0.0,1500.0
163591278,0,1096,404.0,1500.0
172562475,1,309,1191.0,1500.0
192925833,1,73,1427.0,1500.0
202367615,1,227,1273.0,1500.0
204086862,1,63,1437.0,1500.0
207645083,1,38,1462.0,1500.0
208728772,1,389,1111.0,1500.0
212639071,0,1389,111.0,1500.0
221981891,0,1500,0.0,1500.0
229764465,0,1041,459.0,1500.0
255378816,0,1118,382.0,1500.0
265612440,1,303,1197.0,1500.0
266417772,1,176,1324.0,1500.0
274495425,0,1500,0.0,1500.0
287463830,1,546,954.0,1500.0
307260205,1,42,1458.0,1500.0
311525798,0,1500,0.0,1500.0
343965132,0,1500,0.0,1500.0
344190478,1,129,1371.0,1500.0
357728969,1,22,1478.0,1500.0
364474335,0,1500,0.0,1500.0
365739812,0,1500,0.0,1500.0
453717720,1,46,1454.0,1500.0
455229168,1,310,1190.0,1500.0
522158088,1,50,1450.0,1500.0
523043277,0,1500,0.0,1500.0
527591471,0,1500,0.0,1500.0
542284380,1,130,1370.0,1500.0
552661142,1,367,1133.0,1500.0
560704231,1,179,1321.0,1500.0
568098118,1,5,1495.0,1500.0
572984571,1,8,1492.0,1500.0
574523116,0,1500,0.0,1500.0
579082810,1,967,533.0,1500.0
585146387,0,1500,0.0,1500.0
589831718,1,221,1279.0,1500.0
599320067,0,1500,0.0,1500.0
599547518,0,1500,0.0,1500.0
612344730,0,1500,0.0,1500.0
614765452,0,1500,0.0,1500.0
615869301,1,203,1297.0,1500.0
621803253,0,1500,0.0,1500.0
626805178,1,18,1482.0,1500.0
655099582,1,321,1179.0,1500.0
655806940,0,1500,0.0,1500.0
658928958,0,1500,0.0,1500.0
669879380,1,41,1459.0,1500.0
671269505,1,579,921.0,1500.0
695864515,1,27,1473.0,1500.0
699532645,0,1500,0.0,1500.0
701547123,1,95,1405.0,1500.0
770153867,0,1500,0.0,1500.0
771302083,0,1500,0.0,1500.0
787076358,0,1500,0.0,1500.0
793375104,1,803,697.0,1500.0
834369920,0,1500,0.0,1500.0
881458615,0,1500,0.0,1500.0
909213664,1,79,1421.0,1500.0
969302809,1,25,1475.0,1500.0
997737944,1,20,1480.0,1500.0
1024554267,0,1273,227.0,1500.0
1048065319,1,14,1486.0,1500.0
1106996539,0,1500,0.0,1500.0
1136590548,0,1500,0.0,1500.0
1147094660,0,1500,0.0,1500.0
