n_splits,validation_samples_per_repo,gap_samples,fold,eligible_repositories,train_rows,validation_rows,train_positive_rows,validation_positive_rows,train_positive_rate,validation_positive_rate,train_has_both_classes,validation_has_both_classes,target_window_overlap_violations
3,1,4,1,22,546,22,140,6,0.2564102564102564,0.2727272727272727,True,True,0
3,1,4,2,22,568,22,144,7,0.2535211267605634,0.3181818181818182,True,True,0
3,1,4,3,22,590,22,147,6,0.24915254237288137,0.2727272727272727,True,True,0
4,1,4,1,21,524,21,136,5,0.2595419847328244,0.23809523809523808,True,True,0
4,1,4,2,21,545,21,140,5,0.25688073394495414,0.23809523809523808,True,True,0
4,1,4,3,21,566,21,144,6,0.254416961130742,0.2857142857142857,True,True,0
4,1,4,4,21,587,21,146,5,0.24872231686541738,0.23809523809523808,True,True,0
5,1,4,1,21,503,21,132,3,0.2624254473161034,0.14285714285714285,True,True,0
5,1,4,2,21,524,21,136,5,0.2595419847328244,0.23809523809523808,True,True,0
5,1,4,3,21,545,21,140,5,0.25688073394495414,0.23809523809523808,True,True,0
5,1,4,4,21,566,21,144,6,0.254416961130742,0.2857142857142857,True,True,0
5,1,4,5,21,587,21,146,5,0.24872231686541738,0.23809523809523808,True,True,0
3,2,4,1,20,482,40,125,5,0.25933609958506226,0.125,True,True,0
3,2,4,2,20,522,40,135,10,0.25862068965517243,0.25,True,True,0
3,2,4,3,20,562,40,143,11,0.25444839857651247,0.275,True,True,0
4,2,4,1,19,443,38,115,8,0.2595936794582393,0.21052631578947367,True,True,0
4,2,4,2,19,481,38,125,3,0.2598752598752599,0.07894736842105263,True,True,0
4,2,4,3,19,519,38,135,8,0.26011560693641617,0.21052631578947367,True,True,0
4,2,4,4,19,557,38,143,10,0.25673249551166966,0.2631578947368421,True,True,0
5,2,4,1,15,408,30,103,7,0.25245098039215685,0.23333333333333334,True,True,0
5,2,4,2,15,438,30,114,6,0.2602739726027397,0.2,True,True,0
5,2,4,3,15,468,30,122,3,0.2606837606837607,0.1,True,True,0
5,2,4,4,15,498,30,129,7,0.25903614457831325,0.23333333333333334,True,True,0
5,2,4,5,15,528,30,135,9,0.2556818181818182,0.3,True,True,0
