repo_id,repo_full_name,rows,positive_rows,negative_rows,positive_rate,first_cutoff_week,last_cutoff_week
997737944,ruvnet/RuView,8,6,2,0.75,2025-06-30 00:00:00+00:00,2025-08-18 00:00:00+00:00
192925833,prisma/prisma,10,1,9,0.1,2019-07-15 00:00:00+00:00,2019-09-16 00:00:00+00:00
33884891,apache/airflow,11,5,6,0.45454545454545453,2015-06-29 00:00:00+00:00,2015-09-07 00:00:00+00:00
80945428,nestjs/nest,13,4,9,0.3076923076923077,2017-03-13 00:00:00+00:00,2017-06-05 00:00:00+00:00
307260205,yt-dlp/yt-dlp,13,3,10,0.23076923076923078,2021-01-25 00:00:00+00:00,2021-04-19 00:00:00+00:00
695864515,hacksider/Deep-Live-Cam,13,1,12,0.07692307692307693,2023-12-04 00:00:00+00:00,2024-02-26 00:00:00+00:00
19745004,odoo/odoo,14,2,12,0.14285714285714285,2014-06-09 00:00:00+00:00,2014-09-08 00:00:00+00:00
135614069,sudheerj/reactjs-interview-questions,16,6,10,0.375,2018-08-27 00:00:00+00:00,2018-12-10 00:00:00+00:00
357728969,oven-sh/bun,20,6,14,0.3,2021-10-18 00:00:00+00:00,2022-02-28 00:00:00+00:00
22887094,tesseract-ocr/tesseract,21,15,6,0.7142857142857143,2015-01-05 00:00:00+00:00,2015-06-29 00:00:00+00:00
542284380,usebruno/bruno,22,5,17,0.22727272727272727,2022-11-28 00:00:00+00:00,2023-05-29 00:00:00+00:00
58028038,521xueweihan/HelloGitHub,23,7,16,0.30434782608695654,2016-08-22 00:00:00+00:00,2017-01-23 00:00:00+00:00
43441403,strapi/strapi,24,9,15,0.375,2015-10-26 00:00:00+00:00,2016-04-04 00:00:00+00:00
65750241,expo/expo,36,6,30,0.16666666666666666,2016-09-12 00:00:00+00:00,2017-05-15 00:00:00+00:00
5108051,opencv/opencv,37,7,30,0.1891891891891892,2012-08-13 00:00:00+00:00,2013-08-12 00:00:00+00:00
1644196,JuliaLang/julia,40,6,34,0.15,2011-05-16 00:00:00+00:00,2012-02-13 00:00:00+00:00
63476337,TheAlgorithms/Python,40,4,36,0.1,2016-08-22 00:00:00+00:00,2017-05-22 00:00:00+00:00
23088740,axios/axios,45,17,28,0.37777777777777777,2014-09-29 00:00:00+00:00,2015-08-03 00:00:00+00:00
32689863,3b1b/manim,48,19,29,0.3958333333333333,2015-11-16 00:00:00+00:00,2017-04-24 00:00:00+00:00
5625464,pyenv/pyenv,67,15,52,0.22388059701492538,2013-02-25 00:00:00+00:00,2014-06-02 00:00:00+00:00
91629816,freqtrade/freqtrade,75,23,52,0.30666666666666664,2017-08-07 00:00:00+00:00,2019-01-07 00:00:00+00:00
858127,pandas-dev/pandas,104,9,95,0.08653846153846154,2010-09-20 00:00:00+00:00,2013-02-25 00:00:00+00:00
