candidate_id,family,mode,model_kind,feature_set,parameters,fold,rmsle,mae,rmse,smape,forecast_bias
1,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.8}",1,0.8841913476787131,53.74848484848485,85.73970592273554,0.5376780616052128,-35.76060606060606
1,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.8}",2,0.6428292704797033,45.33030303030303,61.535583858512965,0.5009121818606901,-36.88787878787878
1,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.8}",3,0.5674033477858403,31.924242424242422,42.91429325593707,0.3978463873293931,-27.106060606060602
2,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.9}",1,0.8277114244047491,53.22727272727273,86.16117033053388,0.4900427814639736,-26.736363636363638
2,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.9}",2,0.5747225583932041,41.336363636363636,56.539109553395946,0.4328893596028797,-27.936363636363637
2,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.9}",3,0.5094141179532039,26.481818181818184,37.248087199210644,0.3379056407755669,-17.40909090909091
3,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.0}",1,0.7877201139005949,54.16666666666668,88.13353619377926,0.46693177751020465,-17.712121212121215
3,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.0}",2,0.5274870151520753,39.227272727272734,53.148210912808,0.3980836944785046,-18.984848484848488
3,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.0}",3,0.47518638582564593,27.045454545454547,34.58418217286129,0.33032937756010755,-7.7121212121212155
4,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.1}",1,0.7615993601401825,57.184848484848494,91.5566270654176,0.47575262420956366,-8.687878787878782
4,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.1}",2,0.4992809163257643,38.58484848484849,51.679902507960705,0.3796598927885601,-10.033333333333324
4,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.1}",3,0.4620407622439506,28.68181818181819,35.602998965726684,0.33222458928147786,1.9848484848484889
5,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.2}",1,0.7470646290758894,61.53636363636363,96.27582534288939,0.4951398121876012,0.33636363636362887
5,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.2}",2,0.4878347711600538,39.51818181818181,52.296375678348014,0.3755523326714853,-1.0818181818181842
5,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.2}",3,0.46625694872361806,30.481818181818184,40.02428808065968,0.33420982177223035,11.681818181818175
6,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.3}",1,0.7420707474233984,67.53030303030302,102.11158582450848,0.5249625291845148,9.360606060606061
6,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.3}",2,0.4903249720600199,41.54242424242424,54.92748019714795,0.38035501688428136,7.869696969696969
6,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.3}",3,0.4835706715086583,35.4030303030303,46.89537247528758,0.35517772351338067,21.378787878787875
7,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.4}",1,0.7447947380493708,73.74848484848484,108.88452691737335,0.5539076562772345,18.384848484848476
7,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.4}",2,0.5036694731325069,43.85757575757575,59.30568133310532,0.3876955068583529,16.82121212121211
7,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.4}",3,0.5099868830995397,41.54242424242423,55.31067261433822,0.38392263933298465,31.07575757575756
8,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.5}",1,0.7536451518155968,80.04545454545455,116.43121262242042,0.5856012969498287,27.40909090909091
8,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.5}",2,0.5249586844447942,47.04545454545455,65.07932222924715,0.4065470639781758,25.772727272727273
8,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.5}",3,0.542290828029086,48.86363636363637,64.67014204969148,0.42576359055069196,40.77272727272727
9,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 0.1}",1,0.7606710045917218,53.54249450613265,79.3661961146846,0.5695065168249357,-36.23532527440754
9,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 0.1}",2,0.6475115047101727,47.60699161725983,61.56874584793597,0.503467849234855,-33.63807964957545
9,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 0.1}",3,0.6040337901473292,39.42426940362998,50.42407388020032,0.45757855965395217,-27.99473286442319
10,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 0.1}",1,0.7096073792786799,50.76001366930056,77.53277736512261,0.5061320677535602,-47.251993023752085
10,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 0.1}",2,0.534453042100711,45.81916026530726,61.20534537344672,0.4513513552092153,-38.61190670009178
10,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 0.1}",3,0.5317824058086638,39.04507464932303,51.581963386536245,0.4306512851776251,-32.64192373384746
11,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1.0}",1,0.7603730903559371,53.49022894640009,79.30385990745884,0.5691864069802489,-36.30588867843414
11,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1.0}",2,0.6470185597759422,47.562931210705344,61.49825560939088,0.5032833943386354,-33.686787785756
11,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1.0}",3,0.6036522333355917,39.39799429227328,50.403729402148954,0.45705525834684907,-27.99440640701123
12,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1.0}",1,0.709924304421133,50.77204931301156,77.54790923231228,0.5062437919220509,-47.28436178101152
12,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1.0}",2,0.5341722725575894,45.78520910480373,61.16384136969094,0.4511967227227298,-38.668499777809956
12,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1.0}",3,0.5317691879354749,39.04319184806167,51.58884969770199,0.4305391131034009,-32.65691910362375
13,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 10.0}",1,0.757696077268914,53.066536810209364,78.83835813481258,0.5661579579970506,-36.818130531248194
13,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 10.0}",2,0.6429805436737501,47.20358152554729,60.9701789161721,0.5014401782562528,-34.044523043733406
13,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 10.0}",3,0.6004636821712009,39.17856925429694,50.233712283380946,0.45270906681114587,-27.977700937724578
14,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 10.0}",1,0.7122833930903281,50.83782318886721,77.6559650692046,0.5066310787604601,-47.5089186250876
14,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 10.0}",2,0.5322663563278058,45.54025589407694,60.891121623501014,0.44991754037862125,-39.08445086237081
14,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 10.0}",3,0.5317426787325872,39.03691273640936,51.66661887560362,0.42965347802234,-32.78164400680646
15,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 100.0}",1,0.7398506167977545,51.537677386580796,77.66010279869208,0.5467056115940018,-37.070480333967076
15,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 100.0}",2,0.6244685746017593,45.801231171683185,59.48169588948433,0.48786923160736567,-34.32014607659569
15,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 100.0}",3,0.5833400601403466,38.09796202387146,49.237642396198815,0.43406918849008813,-27.37891217672009
16,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 100.0}",1,0.7122216836114922,50.266500474875166,77.49137278519446,0.49600218638329374,-47.184568022557684
16,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 100.0}",2,0.5274207693348943,44.97522481845125,60.40313350601115,0.4447468921556077,-39.569306003929114
16,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 100.0}",3,0.5297503556819202,38.95603087417465,52.00447707173258,0.4243296423424596,-32.93641888687553
17,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1000.0}",1,0.687418376289887,49.05118464857601,77.22401059605981,0.4906664930233035,-30.056744988730326
