feature,train_mean,validation_mean,train_median,validation_median,train_std,standardized_mean_shift,train_minimum,validation_minimum,train_maximum,validation_maximum
herd_momentum_score,8920.747142857143,22947.060606060608,5768.0,25145.0,11510.269024424872,1.2185912799639635,7.0,126.0,149121.0,64293.0
cumulative_stars,536.18,877.8939393939394,505.5,937.5,364.69363134397776,0.9369890506029595,7.0,126.0,1390.0,1452.0
cumulative_growth_lag_1,519.5642857142857,851.7575757575758,485.5,890.0,365.1241669568291,0.9098091008655895,6.0,123.0,1388.0,1444.0
rolling_4week_sum_stars,64.87142857142857,101.5909090909091,53.0,111.0,58.97288031158813,0.6226502813745928,5.0,13.0,513.0,236.0
rolling_3week_mean_stars,16.239047619047618,25.636363636363637,12.666666666666666,27.5,15.541935050846035,0.604642599944752,1.0,3.3333333333333335,156.66666666666666,59.333333333333336
clean_history_weeks,30.972857142857144,43.90909090909091,25.0,34.0,23.20358606169419,0.5575101077841429,4.0,16.0,121.0,128.0
lag_2_week_stars,15.925714285714285,25.40909090909091,10.0,26.0,19.406852145674776,0.488661249758127,1.0,1.0,263.0,101.0
weekly_new_stars,16.615714285714287,26.136363636363637,11.0,26.0,19.66467562272357,0.48414982953737296,1.0,2.0,263.0,101.0
previous_week_stars,16.175714285714285,25.363636363636363,11.0,26.0,19.4676797040948,0.471957738034364,1.0,1.0,263.0,101.0
lag_1_week_stars,16.175714285714285,25.363636363636363,11.0,26.0,19.4676797040948,0.471957738034364,1.0,1.0,263.0,101.0
weekly_growth_rate,0.6126471382016885,0.7318405888398398,0.0,0.10250000000000001,4.169672030153506,0.028585809573556137,-0.9253731343283582,-0.9306930693069306,66.0,32.666666666666664
weekly_growth_acceleration,0.44,0.7727272727272727,0.0,1.5,18.913052182478186,0.017592468392569904,-133.0,-94.0,259.0,98.0
