split,column,dtype,rows,missing_rows,non_finite_rows,unique_values,minimum,q01,median,mean,q99,maximum,zero_rows,negative_rows,correlation_with_target
train,repo_id,int64,700,0,0,22,858127.0,858127.0,32689863.0,91247268.75714286,997737944.0,997737944.0,0,0,0.006253621911632077
train,history_length,int64,700,0,0,104,5.0,5.0,26.0,31.972857142857144,101.00999999999999,122.0,0,0,-0.09720859664825592
train,initial_snapshot_rows,int64,700,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,
train,clean_history_weeks,int64,700,0,0,104,4.0,4.0,25.0,30.972857142857144,100.00999999999999,121.0,0,0,-0.09720859664825592
train,future_4week_stars,float64,700,0,0,191,4.0,6.99,57.0,70.14714285714285,283.06999999999994,513.0,0,0,
train,weekly_new_stars,int64,700,0,0,72,1.0,1.0,11.0,16.615714285714287,82.05999999999995,263.0,0,0,0.47061802256193913
train,cumulative_stars,int64,700,0,0,555,7.0,17.97,505.5,536.18,1339.07,1390.0,0,0,-0.09603101899442765
train,previous_week_stars,float64,700,0,0,72,1.0,1.0,11.0,16.175714285714285,82.05999999999995,263.0,0,0,0.36107005194185166
train,weekly_growth_rate,float64,700,0,0,288,-0.9253731343283582,-0.8572077922077923,0.0,0.6126471382016885,7.846249999999989,66.0,63,317,0.07300321755804383
train,herd_momentum_score,float64,700,0,0,664,7.0,35.86,5768.0,8920.747142857143,46977.29999999996,149121.0,0,0,0.272146270679783
train,lag_1_week_stars,float64,700,0,0,72,1.0,1.0,11.0,16.175714285714285,82.05999999999995,263.0,0,0,0.36107005194185166
train,lag_2_week_stars,float64,700,0,0,71,1.0,1.0,10.0,15.925714285714285,82.05999999999995,263.0,0,0,0.2992846973203294
train,rolling_3week_mean_stars,float64,700,0,0,143,1.0,1.3333333333333333,12.666666666666666,16.239047619047618,69.72666666666662,156.66666666666666,0,0,0.47381317439810583
train,rolling_4week_sum_stars,float64,700,0,0,174,5.0,6.0,53.0,64.87142857142857,283.06999999999994,513.0,0,0,0.4584437681917874
train,weekly_growth_acceleration,float64,700,0,0,92,-133.0,-55.07,0.0,0.44,61.049999999999955,259.0,63,317,0.11766237477021046
train,cumulative_growth_lag_1,float64,700,0,0,551,6.0,14.97,485.5,519.5642857142857,1335.04,1388.0,0,0,-0.12126409534503275
train,validation_samples_per_repo,int64,700,0,0,1,3.0,3.0,3.0,3.0,3.0,3.0,0,0,
train,test_samples_per_repo,int64,700,0,0,1,3.0,3.0,3.0,3.0,3.0,3.0,0,0,
train,minimum_train_samples,int64,700,0,0,1,8.0,8.0,8.0,8.0,8.0,8.0,0,0,
validation,repo_id,int64,66,0,0,22,858127.0,858127.0,60752187.5,171737209.45454547,997737944.0,997737944.0,0,0,-0.25955101934256963
validation,history_length,int64,66,0,0,44,17.0,17.65,35.0,44.90909090909091,128.35,129.0,0,0,-0.18981710110040093
validation,initial_snapshot_rows,int64,66,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,
validation,clean_history_weeks,int64,66,0,0,44,16.0,16.65,34.0,43.90909090909091,127.35,128.0,0,0,-0.18981710110040093
validation,future_4week_stars,float64,66,0,0,58,20.0,21.3,113.0,130.5151515151515,731.1499999999999,750.0,0,0,
validation,weekly_new_stars,int64,66,0,0,36,2.0,2.65,26.0,26.136363636363637,91.89999999999992,101.0,0,0,0.2700371385687846
validation,cumulative_stars,int64,66,0,0,62,126.0,131.85,937.5,877.8939393939394,1446.8,1452.0,0,0,-0.14439764538643302
validation,previous_week_stars,float64,66,0,0,36,1.0,1.65,26.0,25.363636363636363,91.89999999999992,101.0,0,0,0.4685770742745568
validation,weekly_growth_rate,float64,66,0,0,59,-0.9306930693069306,-0.8132425742574257,0.10250000000000001,0.7318405888398398,13.708333333333167,32.666666666666664,4,26,0.16876040125726793
validation,herd_momentum_score,float64,66,0,0,66,126.0,306.7,25145.0,22947.060606060608,57194.34999999994,64293.0,0,0,0.25360888803636034
validation,lag_1_week_stars,float64,66,0,0,36,1.0,1.65,26.0,25.363636363636363,91.89999999999992,101.0,0,0,0.4685770742745568
validation,lag_2_week_stars,float64,66,0,0,32,1.0,1.65,26.0,25.40909090909091,85.39999999999986,101.0,0,0,0.4796466398879599
validation,rolling_3week_mean_stars,float64,66,0,0,49,3.3333333333333335,3.9833333333333334,27.5,25.636363636363637,57.16666666666665,59.333333333333336,0,0,0.5403034517004114
validation,rolling_4week_sum_stars,float64,66,0,0,54,13.0,18.2,111.0,101.5909090909091,228.84999999999994,236.0,0,0,0.44903818849993704
validation,weekly_growth_acceleration,float64,66,0,0,32,-94.0,-66.7,1.5,0.7727272727272727,66.79999999999973,98.0,4,26,-0.18102975869825053
validation,cumulative_growth_lag_1,float64,66,0,0,64,123.0,124.95,890.0,851.7575757575758,1434.8999999999999,1444.0,0,0,-0.1578534292351804
validation,validation_samples_per_repo,int64,66,0,0,1,3.0,3.0,3.0,3.0,3.0,3.0,0,0,
validation,test_samples_per_repo,int64,66,0,0,1,3.0,3.0,3.0,3.0,3.0,3.0,0,0,
validation,minimum_train_samples,int64,66,0,0,1,8.0,8.0,8.0,8.0,8.0,8.0,0,0,
