model,fold,validation_rows,rmsle,mae,rmse,smape,forecast_bias
baseline_last_week_x4,1,22,0.8653667779780025,49.86363636363637,81.05693846135118,0.5296880348222445,-26.318181818181817
baseline_previous_week_x4,1,22,0.9141824499965576,54.22727272727273,76.59842153607464,0.5764999411052216,-25.227272727272727
baseline_rolling_3week_mean_x4,1,22,0.7877201139005949,54.16666666666668,88.13353619377926,0.46693177751020465,-17.712121212121215
baseline_previous_4week_total,1,22,0.8389422973695974,66.04545454545455,115.22053951996895,0.510982061154317,-6.681818181818182
baseline_last_week_x4,2,22,0.5322916403522603,26.40909090909091,39.22487615137757,0.32796031379576457,-4.318181818181818
baseline_previous_week_x4,2,22,0.8967213165988315,53.31818181818182,79.1916547485793,0.5610244016649237,-26.863636363636363
baseline_rolling_3week_mean_x4,2,22,0.5274870151520753,39.227272727272734,53.148210912808,0.3980836944785046,-18.984848484848488
baseline_previous_4week_total,2,22,0.5636190539111664,46.04545454545455,72.46974290256338,0.39240130794417816,-14.772727272727273
baseline_last_week_x4,3,22,0.6874265590425014,35.95454545454545,49.25859408173452,0.4393802336606946,0.4090909090909091
baseline_previous_week_x4,3,22,0.5502967102982032,29.045454545454547,41.563204881240814,0.36109678108901794,-0.5
baseline_rolling_3week_mean_x4,3,22,0.47518638582564593,27.045454545454547,34.58418217286129,0.33032937756010755,-7.7121212121212155
baseline_previous_4week_total,3,22,0.4898194464455324,31.818181818181817,41.610750359186575,0.37638738959138035,-11.272727272727273
