configuration_id,model,target_transform,parameters,fold,train_rows,validation_rows,rmsle,mae,rmse,smape,forecast_bias
1,dummy_mean,raw,{},1,546,22,0.8535174418919174,60.78471528471528,83.99354927578541,0.6455930129759679,-46.58091908091908
1,dummy_mean,raw,{},2,568,22,0.8632576129913432,61.37099871959027,81.63052119704906,0.6565993420972634,-45.6161971830986
1,dummy_mean,raw,{},3,590,22,0.8403830426818668,58.42218798151002,75.08316435673568,0.6533886987873769,-40.710631741140226
2,dummy_median,raw,{},1,546,22,0.9245384358711937,65.68181818181819,89.5323709869534,0.7208175997824553,-55.95454545454545
2,dummy_median,raw,{},2,568,22,0.9318234004557419,66.13636363636364,87.53830330463657,0.7281724223315241,-55.5
2,dummy_median,raw,{},3,590,22,0.9104616047153311,63.40909090909091,81.5544993463657,0.728274287708712,-51.68181818181818
3,ridge,raw,"{""alpha"": 0.01}",1,546,22,0.7606959420457943,53.548058790680415,79.37299517004615,0.5695346181393129,-36.22700865591096
3,ridge,raw,"{""alpha"": 0.01}",2,568,22,0.6475636204442645,47.611699924191676,61.57650844285913,0.5034841948886533,-33.632401894834906
3,ridge,raw,"{""alpha"": 0.01}",3,590,22,0.6040740390305165,39.427060031807976,50.42615209965018,0.4576346297785659,-27.994534114949975
4,ridge,raw,"{""alpha"": 0.1}",1,546,22,0.7606185257072454,53.544600401012616,79.36970906446503,0.5694657043250108,-36.225234785781076
4,ridge,raw,"{""alpha"": 0.1}",2,568,22,0.6475279135267832,47.6089721169255,61.57347618413298,0.5034473652857732,-33.63168836724967
4,ridge,raw,"{""alpha"": 0.1}",3,590,22,0.6040463328194609,39.425342238089314,50.42406500346457,0.4576046638486327,-27.992588363873157
5,ridge,raw,"{""alpha"": 1.0}",1,546,22,0.7598581503385738,53.51048149997052,79.33738840595144,0.5687844207325836,-36.20746015894985
5,ridge,raw,"{""alpha"": 1.0}",2,568,22,0.6471767872530504,47.58218715696515,61.543923869931284,0.5030827398001697,-33.62440756082192
5,ridge,raw,"{""alpha"": 1.0}",3,590,22,0.60377317884005,39.40845016894853,50.40360452905013,0.45730892124150313,-27.973382026227622
6,ridge,raw,"{""alpha"": 10.0}",1,546,22,0.753414714107582,53.208764397415536,79.05908926942138,0.5626614087019151,-36.03093484065678
6,ridge,raw,"{""alpha"": 10.0}",2,568,22,0.6441699764400969,47.3554232678056,61.310858185908074,0.49976897116714875,-33.54370028475011
6,ridge,raw,"{""alpha"": 10.0}",3,590,22,0.6013802567991655,39.26396354860279,50.23457935698021,0.4546837492734878,-27.803921575119453
7,ridge,raw,"{""alpha"": 100.0}",1,546,22,0.729856445348559,51.744499005100415,77.86643564102675,0.5315602731931187,-34.97620336831424
7,ridge,raw,"{""alpha"": 100.0}",2,568,22,0.6340052966712895,46.63534190724604,60.99239102536986,0.4852367662615027,-33.07908701666099
7,ridge,raw,"{""alpha"": 100.0}",3,590,22,0.5920121197421151,38.77910070298171,49.96455269637666,0.44179935961216255,-27.159757541823236
8,ridge,raw,"{""alpha"": 1000.0}",1,546,22,0.7269866485872308,51.54724693163489,76.72297991926186,0.529147711928948,-36.04159568710275
8,ridge,raw,"{""alpha"": 1000.0}",2,568,22,0.6686230910759707,49.50543050647329,65.88637686809972,0.5192626593785621,-35.20205491554575
8,ridge,raw,"{""alpha"": 1000.0}",3,590,22,0.6198741081393591,41.91791731521181,54.704771798841676,0.46557673191385346,-29.01859582903617
