approach_type,model,target_transform,parameters,cv_mean_rmsle,cv_std_rmsle,cv_mean_mae,validation_rmsle,validation_mae,validation_rmse,validation_smape,validation_forecast_bias,fit_seconds,artifact_path
naive_baseline,baseline_rolling_3week_mean_x4,not_applicable,{},,,,0.5161585559189952,50.666666666666664,112.8553049941378,0.37960142821077214,-27.96969696969697,0.0,
naive_baseline,baseline_previous_4week_total,not_applicable,{},,,,0.5452769322864806,52.71212121212121,118.80624664732171,0.3841217524313426,-28.924242424242426,0.0,
trained_model,extra_trees,raw,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5363752228254263,0.09093367457454245,40.410769218599064,0.5935179160714926,57.290005712682856,126.40908652882702,0.4076502315032043,-36.36521287130613,0.08845516690053046,models/forecasting/candidates/extra_trees.joblib
trained_model,random_forest,raw,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.540266744551015,0.08412091869882467,41.53650039847562,0.5962935395493859,57.43725710154297,127.37434571055059,0.4006411139117648,-38.640315109354916,0.28657941706478596,models/forecasting/candidates/random_forest.joblib
trained_model,xgboost,raw,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5.0, ""n_estimators"": 150, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.5580792050208733,0.06339110848238345,42.14508998755253,0.6001931051706845,58.59226527358546,127.60940927970825,0.4162460577187676,-41.01281668923118,0.06926820799708366,models/forecasting/candidates/xgboost.joblib
trained_model,gradient_boosting,raw,"{""learning_rate"": 0.03, ""loss"": ""huber"", ""max_depth"": 2, ""min_samples_leaf"": 10, ""n_estimators"": 100}",0.5616276503477032,0.11676451899216929,42.127212578302476,0.6020160338923506,59.002781901828506,129.62578325256644,0.4015973093191385,-46.33229015328058,0.09728350001387298,models/forecasting/candidates/gradient_boosting.joblib
trained_model,hist_gradient_boosting,raw,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 150, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 10}",0.5836405996806933,0.09709341463766162,42.554857502787186,0.6117526550931868,59.25314373112487,130.13001347973977,0.4127608919742168,-43.369687699910365,0.13796654203906655,models/forecasting/candidates/hist_gradient_boosting.joblib
trained_model,elastic_net,raw,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",0.6460181489126544,0.06888775285000737,45.13060906136145,0.6173943476032624,62.34159696274352,129.66884994105894,0.44078671254514123,-47.93542588826647,0.0013895828742533922,models/forecasting/candidates/elastic_net.joblib
trained_model,ridge,raw,"{""alpha"": 100.0}",0.6519579539206545,0.07065400167158768,45.71964720510939,0.6188579541550578,62.38130448600824,129.71126401793637,0.44092293183502346,-47.987098867142016,0.001282125012949109,models/forecasting/candidates/ridge.joblib
trained_model,decision_tree,log1p,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 20}",0.5704994472219148,0.14081473252437557,41.371327427943434,0.6396939390336487,62.19298233432645,132.1140982079346,0.43952689343870427,-46.44273343090924,0.0011692498810589314,models/forecasting/candidates/decision_tree.joblib
trained_model,poisson_regression,raw,"{""alpha"": 10.0}",0.7155104624631948,0.08067117279152174,51.549553195479255,0.6897590244843131,69.13029378617476,134.19141118389666,0.5172422097214682,-54.59367453719119,0.06063087494112551,models/forecasting/candidates/poisson_regression.joblib
trained_model,knn,raw,"{""n_neighbors"": 3, ""p"": 1, ""weights"": ""uniform""}",0.5519858597448408,0.16764040081728415,40.44444444444445,0.7301360153023855,65.73232323232324,136.50905545868457,0.4598280197060753,-32.48989898989899,0.0017029161099344492,models/forecasting/candidates/knn.joblib
naive_baseline,baseline_last_week_x4,not_applicable,{},,,,0.7506771739262971,55.0,132.76032174675922,0.4065756102451272,-25.96969696969697,0.0,
trained_model,dummy_mean,raw,{},0.8523860325217091,0.01147917928612672,60.192633995271855,0.8250941632251763,80.06770562770564,142.33805533777942,0.64015311808189,-60.368008658008655,0.0001760418526828289,models/forecasting/candidates/dummy_mean.joblib
naive_baseline,baseline_previous_week_x4,not_applicable,{},,,,0.8266761637393131,57.03030303030303,118.44382378975864,0.4658165273754564,-29.060606060606062,0.0,
trained_model,dummy_median,raw,{},0.9222744803474221,0.010859360030589701,65.07575757575758,0.9201576810821285,85.21212121212122,148.39239545981806,0.7019360133994712,-73.51515151515152,0.00018570898100733757,models/forecasting/candidates/dummy_median.joblib
