repo_id,repo_full_name,rows,eligible,error
858127,pandas-dev/pandas,104,True,
1644196,JuliaLang/julia,40,True,
5108051,opencv/opencv,37,True,
5625464,pyenv/pyenv,67,True,
19745004,odoo/odoo,14,True,
22887094,tesseract-ocr/tesseract,21,True,
23088740,axios/axios,45,True,
32689863,3b1b/manim,48,True,
33884891,apache/airflow,11,True,
43441403,strapi/strapi,24,True,
58028038,521xueweihan/HelloGitHub,23,True,
63476337,TheAlgorithms/Python,40,True,
65750241,expo/expo,36,True,
80945428,nestjs/nest,13,True,
91629816,freqtrade/freqtrade,75,True,
135614069,sudheerj/reactjs-interview-questions,16,True,
192925833,prisma/prisma,10,True,
307260205,yt-dlp/yt-dlp,13,True,
357728969,oven-sh/bun,20,True,
542284380,usebruno/bruno,22,True,
695864515,hacksider/Deep-Live-Cam,13,True,
997737944,ruvnet/RuView,8,True,
