n_splits,validation_samples_per_repo,gap_samples,fold,baseline,validation_rows,rmsle,mae,rmse,smape,forecast_bias
3,1,4,1,last_week_x4,22,0.8653667779780025,49.86363636363637,81.05693846135118,0.5296880348222445,-26.318181818181817
3,1,4,1,previous_week_x4,22,0.9141824499965576,54.22727272727273,76.59842153607464,0.5764999411052216,-25.227272727272727
3,1,4,1,rolling_3week_mean_x4,22,0.7877201139005949,54.16666666666668,88.13353619377926,0.46693177751020465,-17.712121212121215
3,1,4,1,previous_4week_total,22,0.8389422973695974,66.04545454545455,115.22053951996895,0.510982061154317,-6.681818181818182
3,1,4,2,last_week_x4,22,0.5322916403522603,26.40909090909091,39.22487615137757,0.32796031379576457,-4.318181818181818
3,1,4,2,previous_week_x4,22,0.8967213165988315,53.31818181818182,79.1916547485793,0.5610244016649237,-26.863636363636363
3,1,4,2,rolling_3week_mean_x4,22,0.5274870151520753,39.227272727272734,53.148210912808,0.3980836944785046,-18.984848484848488
3,1,4,2,previous_4week_total,22,0.5636190539111664,46.04545454545455,72.46974290256338,0.39240130794417816,-14.772727272727273
3,1,4,3,last_week_x4,22,0.6874265590425014,35.95454545454545,49.25859408173452,0.4393802336606946,0.4090909090909091
3,1,4,3,previous_week_x4,22,0.5502967102982032,29.045454545454547,41.563204881240814,0.36109678108901794,-0.5
3,1,4,3,rolling_3week_mean_x4,22,0.47518638582564593,27.045454545454547,34.58418217286129,0.33032937756010755,-7.7121212121212155
3,1,4,3,previous_4week_total,22,0.4898194464455324,31.818181818181817,41.610750359186575,0.37638738959138035,-11.272727272727273
3,2,4,1,last_week_x4,40,0.741962313730805,68.525,156.61313801849448,0.5023548555340739,34.225
3,2,4,1,previous_week_x4,40,0.8676037158360195,67.325,160.64393857223496,0.5362797326193881,13.425
3,2,4,1,rolling_3week_mean_x4,40,0.6306193252236563,42.50833333333334,83.21863773618664,0.4412809251093711,8.191666666666666
3,2,4,1,previous_4week_total,40,0.6277029687365927,38.075,68.19219163511318,0.4269545969336681,4.525
3,2,4,2,last_week_x4,40,0.7806605003322586,44.025,70.32407127008504,0.4882146724050214,-25.475
3,2,4,2,previous_week_x4,40,0.8858889203502979,61.975,112.98882688124522,0.5496432208808977,-8.175
3,2,4,2,rolling_3week_mean_x4,40,0.7731374193719708,59.458333333333336,110.50081699044381,0.4612076303938311,-4.441666666666668
3,2,4,2,previous_4week_total,40,0.7931598262571126,60.525,109.41766310792788,0.46376870333011216,-3.575
3,2,4,3,last_week_x4,40,0.5433519095547625,29.575,43.05258412685585,0.36609960648019424,1.925
3,2,4,3,previous_week_x4,40,0.7289705813977054,38.625,61.02069321140166,0.450521470947786,-15.475
3,2,4,3,rolling_3week_mean_x4,40,0.49599144008165374,32.075,44.594126419418856,0.3556985554024931,-13.108333333333334
3,2,4,3,previous_4week_total,40,0.5054443354376664,38.2,59.734412192638175,0.3695980903755138,-11.95
4,1,4,1,last_week_x4,21,0.7170722407962828,42.95238095238095,61.95466852773043,0.47207908762536227,-18.571428571428573
4,1,4,1,previous_week_x4,21,0.9490389481136761,68.57142857142857,136.62287335512133,0.5409040486116704,6.190476190476191
4,1,4,1,rolling_3week_mean_x4,21,0.8332980826558275,64.66666666666666,125.24646601272727,0.4854780447959194,7.650793650793652
4,1,4,1,previous_4week_total,21,0.8158440125031267,53.857142857142854,97.02503358853912,0.44245644488802904,-2.8095238095238093
4,1,4,2,last_week_x4,21,0.8167337446685924,48.42857142857143,81.10692531056354,0.4914192110836212,-23.761904761904763
4,1,4,2,previous_week_x4,21,0.7727449331880113,52.42857142857143,75.78698217152248,0.5228235714576749,-22.047619047619047
4,1,4,2,rolling_3week_mean_x4,21,0.6707445660219006,52.55555555555557,88.13989001377418,0.41433669208552054,-14.365079365079369
4,1,4,2,previous_4week_total,21,0.7329305216274471,65.0,116.35802712400411,0.46048460828411436,-2.8095238095238093
4,1,4,3,last_week_x4,21,0.5442530113607511,27.047619047619047,40.047590736641375,0.3381233075510905,-5.142857142857143
4,1,4,3,previous_week_x4,21,0.8453975701807426,51.714285714285715,78.8005317845242,0.5224980045938497,-24.0
4,1,4,3,rolling_3week_mean_x4,21,0.5135524889142895,38.349206349206355,52.92342476530491,0.38190959078375575,-17.142857142857146
4,1,4,3,previous_4week_total,21,0.5346165759953901,45.0,72.67573119523398,0.3667296154979453,-12.238095238095237
4,1,4,4,last_week_x4,21,0.5219047500672328,32.904761904761905,45.45065351303438,0.3834981864156586,5.190476190476191
4,1,4,4,previous_week_x4,21,0.5630488176832795,30.047619047619047,42.5054618339136,0.3750077936531912,-0.9047619047619048
4,1,4,4,rolling_3week_mean_x4,21,0.45540262731813785,25.41269841269841,32.77024395528494,0.3101499021746013,-5.158730158730163
4,1,4,4,previous_4week_total,21,0.44989340555169594,29.904761904761905,39.58595229431293,0.34919781666465405,-8.380952380952381
4,2,4,1,last_week_x4,38,0.9113131887770379,50.36842105263158,114.37749134473876,0.4894521323823038,-35.10526315789474
4,2,4,1,previous_week_x4,38,0.9411682347597841,62.421052631578945,133.55582314050122,0.5287711640176953,-18.36842105263158
