n_splits,validation_samples_per_repo,gap_samples,baseline,folds,mean_rmsle,std_rmsle,mean_mae,mean_rmse,mean_smape,mean_forecast_bias
3,1,4,last_week_x4,3,0.6950283257909214,0.1666676392386201,37.409090909090914,56.513469564821094,0.43234286075956785,-10.075757575757576
3,1,4,previous_4week_total,3,0.6307935992420987,0.18400001607241734,47.96969696969697,76.4336775939063,0.42659025289662517,-10.909090909090908
3,1,4,previous_week_x4,3,0.7870668256311975,0.2052347154625232,45.53030303030303,65.78442705529825,0.4995403746197211,-17.53030303030303
3,1,4,rolling_3week_mean_x4,3,0.596797838292772,0.16739870205421925,40.14646464646466,58.62197642648285,0.39844828318293896,-14.803030303030306
3,2,4,last_week_x4,3,0.6886582412059421,0.12731784998578233,47.375,89.99659780514513,0.4522230448064299,3.5583333333333336
3,2,4,previous_4week_total,3,0.6421023768104572,0.14439722341176425,45.6,79.11475564522641,0.42010713021309803,-3.6666666666666665
3,2,4,previous_week_x4,3,0.8274877391946743,0.0858068176855831,55.975,111.55115288829394,0.5121481414826906,-3.408333333333333
3,2,4,rolling_3week_mean_x4,3,0.6332493948924269,0.1385917075767672,44.680555555555564,79.43786038201644,0.41939570363523176,-3.1194444444444454
4,1,4,last_week_x4,4,0.6499909367232148,0.14129124227363546,37.83333333333333,57.13995952199243,0.4212799481689331,-10.571428571428573
4,1,4,previous_4week_total,4,0.6333211289194149,0.16992640820383811,48.44047619047619,81.41118605052253,0.4047171213336857,-6.559523809523809
4,1,4,previous_week_x4,4,0.7825575672914273,0.16324347364820016,50.69047619047619,83.4289622862704,0.49030835457909655,-10.19047619047619
4,1,4,rolling_3week_mean_x4,4,0.6182494412275389,0.16978632937848107,45.24603174603175,74.77000618677282,0.39796855745994925,-7.253968253968256
4,2,4,last_week_x4,4,0.7343456736713585,0.14913224526352264,45.30263157894737,93.21875452206714,0.44972293633398047,-3.526315789473685
4,2,4,previous_4week_total,4,0.6621950199740942,0.12241375211058479,44.18421052631579,86.33352127282053,0.40882913760356776,-2.9078947368421053
4,2,4,previous_week_x4,4,0.8465482495639933,0.09289902356823247,54.671052631578945,115.09964471381457,0.50362796224564,-3.3421052631578947
4,2,4,rolling_3week_mean_x4,4,0.675733779861013,0.1462434215301961,45.00438596491228,88.50729828306793,0.4188085882918277,-3.0438596491228065
5,1,4,last_week_x4,5,0.6735950549444466,0.13325983394267688,41.77142857142857,71.32029959503181,0.43124104089283755,-4.971428571428572
5,1,4,previous_4week_total,5,0.6356261504651983,0.14725081926911537,47.87619047619047,81.52523181059439,0.4114951640372069,-3.9142857142857137
5,1,4,previous_week_x4,5,0.7888812960018433,0.14207839909909825,58.34285714285714,108.78532554376122,0.4945076204797,1.1999999999999993
5,1,4,rolling_3week_mean_x4,5,0.6302886539701094,0.14948331495577655,46.96507936507937,81.45547505999784,0.4094668933167879,-2.990476190476193
5,2,4,last_week_x4,5,0.7216238384219896,0.13773375038132654,36.766666666666666,58.13730416816227,0.46727715992044533,-1.7133333333333325
5,2,4,previous_4week_total,5,0.5886132599783005,0.12713789791909916,32.873333333333335,52.18618469512569,0.40510038718315694,-5.433333333333334
5,2,4,previous_week_x4,5,0.808962343327549,0.08935654676284269,41.82,70.01873905348276,0.510910992852573,-4.7
5,2,4,rolling_3week_mean_x4,5,0.6233938203359075,0.09710306372991417,33.806666666666665,52.70059775556598,0.4213381588145001,-4.522222222222222
