n_splits,validation_samples_per_repo,gap_samples,fold,eligible_repositories,train_rows,validation_rows,train_target_mean,validation_target_mean,train_target_median,validation_target_median,target_window_overlap_violations
3,1,4,1,22,546,22,61.37362637362637,107.95454545454545,52.0,100.0,0
3,1,4,2,22,568,22,62.88380281690141,108.5,53.0,104.0,0
3,1,4,3,22,590,22,63.97118644067797,104.68181818181819,53.0,99.0,0
3,2,4,1,20,482,40,56.38174273858921,89.275,48.0,90.5,0
3,2,4,2,20,522,40,59.24904214559387,103.075,51.0,88.0,0
3,2,4,3,20,562,40,62.08540925266904,103.375,52.5,96.5,0
4,1,4,1,21,524,21,59.83587786259542,104.85714285714286,51.0,88.0,0
4,1,4,2,21,545,21,61.4697247706422,108.33333333333333,52.0,100.0,0
4,1,4,3,21,566,21,63.06890459363957,108.57142857142857,53.0,101.0,0
4,1,4,4,21,587,21,64.19591141396934,104.33333333333333,53.0,98.0,0
4,2,4,1,19,443,38,53.93905191873589,100.05263157894737,47.0,85.0,0
4,2,4,2,19,481,38,56.270270270270274,84.94736842105263,48.0,85.0,0
4,2,4,3,19,519,38,59.077071290944126,95.05263157894737,51.0,87.5,0
4,2,4,4,19,557,38,61.87253141831239,97.3157894736842,52.0,92.0,0
5,1,4,1,21,503,21,58.14711729622267,93.61904761904762,51.0,95.0,0
5,1,4,2,21,524,21,59.83587786259542,104.85714285714286,51.0,88.0,0
5,1,4,3,21,545,21,61.4697247706422,108.33333333333333,52.0,100.0,0
5,1,4,4,21,566,21,63.06890459363957,108.57142857142857,53.0,101.0,0
5,1,4,5,21,587,21,64.19591141396934,104.33333333333333,53.0,98.0,0
5,2,4,1,15,408,30,51.74264705882353,78.7,43.5,80.0,0
5,2,4,2,15,438,30,53.52283105022831,76.13333333333334,46.0,82.0,0
5,2,4,3,15,468,30,55.48931623931624,75.1,48.0,79.5,0
5,2,4,4,15,498,30,56.88755020080321,94.03333333333333,48.0,81.0,0
5,2,4,5,15,528,30,57.98106060606061,98.46666666666667,51.0,92.0,0
