repo_id,repo_full_name,cutoff_week,target_end_week,history_length,initial_snapshot_rows,clean_history_weeks,future_4week_stars,weekly_new_stars_x,cumulative_stars_x,previous_week_stars,weekly_growth_rate,herd_momentum_score,lag_1_week_stars,lag_2_week_stars,rolling_3week_mean_stars,rolling_4week_sum_stars,weekly_growth_acceleration,cumulative_growth_lag_1,split,validation_samples_per_repo,test_samples_per_repo,minimum_train_samples,week_start,repository_row_index,weekly_new_stars_y,cumulative_stars_y,cumulative_difference,clean_weekly_new_stars,clean_rolling_3week_mean,clean_rolling_4week_sum,rolling_4week_difference
858127,pandas-dev/pandas,2010-09-20 00:00:00+00:00,2010-10-18 00:00:00+00:00,5,1,4,25.0,7,555,5.0,0.3999999999999999,2775.0,5.0,3.0,5.0,17.0,2.0,548.0,train,3,3,8,2010-09-20 00:00:00+00:00,4,7,555,7.0,7.0,5.0,17.0,0.0
63476337,TheAlgorithms/Python,2017-05-01 00:00:00+00:00,2017-05-29 00:00:00+00:00,41,1,40,88.0,27,886,17.0,0.588235294117647,15062.0,17.0,25.0,23.0,84.0,10.0,859.0,train,3,3,8,2017-05-01 00:00:00+00:00,40,27,886,27.0,27.0,23.0,84.0,0.0
63476337,TheAlgorithms/Python,2017-03-06 00:00:00+00:00,2017-04-03 00:00:00+00:00,33,1,32,98.0,31,704,17.0,0.8235294117647058,11968.0,17.0,17.0,21.666666666666668,78.0,14.0,673.0,train,3,3,8,2017-03-06 00:00:00+00:00,32,31,704,31.0,31.0,21.666666666666668,78.0,0.0
63476337,TheAlgorithms/Python,2017-03-13 00:00:00+00:00,2017-04-10 00:00:00+00:00,34,1,33,81.0,32,736,31.0,0.032258064516129,22816.0,31.0,17.0,26.666666666666668,97.0,1.0,704.0,train,3,3,8,2017-03-13 00:00:00+00:00,33,32,736,32.0,32.0,26.666666666666668,97.0,0.0
63476337,TheAlgorithms/Python,2017-03-20 00:00:00+00:00,2017-04-17 00:00:00+00:00,35,1,34,82.0,24,760,32.0,-0.25,24320.0,32.0,31.0,29.0,104.0,-8.0,736.0,train,3,3,8,2017-03-20 00:00:00+00:00,34,24,760,24.0,24.0,29.0,104.0,0.0
63476337,TheAlgorithms/Python,2017-03-27 00:00:00+00:00,2017-04-24 00:00:00+00:00,36,1,35,73.0,26,786,24.0,0.0833333333333332,18864.0,24.0,32.0,27.333333333333332,113.0,2.0,760.0,train,3,3,8,2017-03-27 00:00:00+00:00,35,26,786,26.0,26.0,27.333333333333332,113.0,0.0
63476337,TheAlgorithms/Python,2017-04-03 00:00:00+00:00,2017-05-01 00:00:00+00:00,37,1,36,84.0,16,802,26.0,-0.3846153846153846,20852.0,26.0,24.0,22.0,98.0,-10.0,786.0,train,3,3,8,2017-04-03 00:00:00+00:00,36,16,802,16.0,16.0,22.0,98.0,0.0
63476337,TheAlgorithms/Python,2017-04-10 00:00:00+00:00,2017-05-08 00:00:00+00:00,38,1,37,86.0,15,817,16.0,-0.0625,13072.0,16.0,26.0,19.0,81.0,-1.0,802.0,train,3,3,8,2017-04-10 00:00:00+00:00,37,15,817,15.0,15.0,19.0,81.0,0.0
63476337,TheAlgorithms/Python,2017-04-17 00:00:00+00:00,2017-05-15 00:00:00+00:00,39,1,38,82.0,25,842,15.0,0.6666666666666667,12630.0,15.0,16.0,18.666666666666668,82.0,10.0,817.0,train,3,3,8,2017-04-17 00:00:00+00:00,38,25,842,25.0,25.0,18.666666666666668,82.0,0.0
63476337,TheAlgorithms/Python,2017-04-24 00:00:00+00:00,2017-05-22 00:00:00+00:00,40,1,39,88.0,17,859,25.0,-0.3199999999999999,21475.0,25.0,15.0,19.0,73.0,-8.0,842.0,train,3,3,8,2017-04-24 00:00:00+00:00,39,17,859,17.0,17.0,19.0,73.0,0.0
