user_id,train_history_count,candidate_count_validation
26,1,144
102,1,144
118,1,144
137,1,144
155,1,144
182,1,144
211,1,144
224,1,144
227,1,144
230,1,144
278,1,144
288,1,144
306,1,144
347,1,144
366,1,144
498,1,144
512,1,144
585,1,144
591,1,144
636,1,144
763,1,144
778,1,144
810,1,144
870,1,144
917,1,144
953,1,144
990,1,144
1014,1,144
1037,1,144
1095,1,144
1115,1,144
1128,1,144
1157,1,144
1185,1,144
1226,1,144
1228,1,144
1249,1,144
1286,1,144
1351,1,144
1352,1,144
1391,1,144
1432,1,144
1558,1,144
1592,1,144
1593,1,144
1598,1,144
1602,1,144
1605,1,144
1614,1,144
1615,1,144
1623,1,144
1639,1,144
1664,1,144
1735,1,144
1851,1,144
1878,1,144
1917,1,144
1954,1,144
2088,1,144
2134,1,144
2317,1,144
2319,1,144
2363,1,144
2449,1,144
2458,1,144
2472,1,144
2481,1,144
2516,1,144
2609,1,144
2722,1,144
2738,1,144
2917,1,144
2944,1,144
2946,1,144
2948,1,144
3084,1,144
3108,1,144
3134,1,144
3226,1,144
3250,1,144
3267,1,144
3326,1,144
3426,1,144
3556,1,144
3593,1,144
3716,1,144
3753,1,144
3764,1,144
4046,1,144
4188,1,144
4229,1,144
4337,1,144
4343,1,144
4425,1,144
4443,1,144
4500,1,144
4603,1,144
4623,1,144
4651,1,144
4672,1,144
4836,1,144
4837,1,144
4863,1,144
4867,1,144
4910,1,144
4933,1,144
5089,1,144
5173,1,144
5181,1,144
5250,1,144
5259,1,144
5323,1,144
5349,1,144
5393,1,144
5417,1,144
5448,1,144
5530,1,144
5535,1,144
5539,1,144
5605,1,144
5664,1,144
5733,1,144
5771,1,144
5817,1,144
5839,1,144
5866,1,144
5968,1,144
6027,1,144
6036,1,144
6039,1,144
6114,1,144
6188,1,144
6270,1,144
6332,1,144
6375,1,144
6490,1,144
6499,1,144
6528,1,144
6532,1,144
6643,1,144
6700,1,144
6871,1,144
6875,1,144
6939,1,144
7050,1,144
7052,1,144
7069,1,144
7129,1,144
7190,1,144
7229,1,144
7247,1,144
7261,1,144
7292,1,144
7333,1,144
7354,1,144
7418,1,144
7634,1,144
7788,1,144
7790,1,144
7904,1,144
7913,1,144
7978,1,144
8081,1,144
8130,1,144
8142,1,144
8153,1,144
8197,1,144
8267,1,144
8333,1,144
8401,1,144
8459,1,144
8536,1,144
8567,1,144
8586,1,144
8609,1,144
8699,1,144
8828,1,144
8832,1,144
8942,1,144
9235,1,144
9323,1,144
9327,1,144
9421,1,144
9654,1,144
9705,1,144
9898,1,144
9907,1,144
9957,1,144
10099,1,144
10117,1,144
10226,1,144
10383,1,144
10446,1,144
10460,1,144
10502,1,144
10508,1,144
10535,1,144
10574,1,144
10682,1,144
10702,1,144
10706,1,144
10998,1,144
11169,1,144
11241,1,144
11696,1,144
11700,1,144
11782,1,144
12050,1,144
12083,1,144
12100,1,144
12174,1,144
12271,1,144
12423,1,144
12481,1,144
12524,1,144
12686,1,144
12793,1,144
12875,1,144
13096,1,144
13283,1,144
13300,1,144
13301,1,144
13303,1,144
13393,1,144
13595,1,144
13653,1,144
13781,1,144
13989,1,144
14014,1,144
14161,1,144
14173,1,144
14323,1,144
14330,1,144
14349,1,144
14454,1,144
14510,1,144
14569,1,144
14677,1,144
14762,1,144
14783,1,144
14960,1,144
14989,1,144
15014,1,144
15115,1,144
15126,1,144
15179,1,144
15248,1,144
15274,1,144
15394,1,144
15484,1,144
15594,1,144
15651,1,144
15725,1,144
15809,1,144
15849,1,144
16032,1,144
16454,1,144
16519,1,144
16737,1,144
16769,1,144
16865,1,144
16932,1,144
17013,1,144
17043,1,144
17164,1,144
17178,1,144
17232,1,144
17237,1,144
17565,1,144
17655,1,144
17748,1,144
17833,1,144
17929,1,144
17947,1,144
17980,1,144
17991,1,144
18080,1,144
18141,1,144
18383,1,144
18412,1,144
18490,1,144
18528,1,144
18544,1,144
18561,1,144
18831,1,144
19168,1,144
19176,1,144
19201,1,144
19441,1,144
19495,1,144
19609,1,144
19625,1,144
19721,1,144
19755,1,144
19793,1,144
19794,1,144
19872,1,144
19875,1,144
19881,1,144
19985,1,144
20032,1,144
20110,1,144
20201,1,144
20370,1,144
20524,1,144
20738,1,144
20770,1,144
20999,1,144
21094,1,144
21205,1,144
21219,1,144
21420,1,144
21452,1,144
21453,1,144
21505,1,144
21592,1,144
21626,1,144
21740,1,144
21761,1,144
21772,1,144
21919,1,144
21992,1,144
22216,1,144
22486,1,144
22612,1,144
22614,1,144
22681,1,144
22811,1,144
22852,1,144
22946,1,144
23097,1,144
23153,1,144
23272,1,144
23305,1,144
23368,1,144
23410,1,144
23453,1,144
23519,1,144
23535,1,144
23861,1,144
23943,1,144
23975,1,144
24005,1,144
24247,1,144
24449,1,144
24555,1,144
24597,1,144
24681,1,144
24772,1,144
25034,1,144
25346,1,144
25710,1,144
25727,1,144
25772,1,144
25954,1,144
26042,1,144
26278,1,144
26383,1,144
26620,1,144
26656,1,144
26739,1,144
26783,1,144
26844,1,144
26889,1,144
26890,1,144
26976,1,144
27011,1,144
27257,1,144
27380,1,144
27912,1,144
28253,1,144
28353,1,144
28428,1,144
28488,1,144
28634,1,144
28670,1,144
28956,1,144
29039,1,144
29101,1,144
29429,1,144
29612,1,144
29658,1,144
29692,1,144
29834,1,144
30021,1,144
30054,1,144
30218,1,144
30241,1,144
30445,1,144
30456,1,144
30460,1,144
30503,1,144
30594,1,144
30776,1,144
30856,1,144
30984,1,144
31001,1,144
31202,1,144
31247,1,144
31481,1,144
31543,1,144
31591,1,144
31597,1,144
31751,1,144
31774,1,144
31819,1,144
32214,1,144
32248,1,144
33046,1,144
33054,1,144
33092,1,144
33229,1,144
33390,1,144
33528,1,144
33952,1,144
34030,1,144
34079,1,144
34182,1,144
34284,1,144
34359,1,144
34519,1,144
34577,1,144
34686,1,144
34764,1,144
34790,1,144
35148,1,144
35289,1,144
35297,1,144
35640,1,144
35998,1,144
36012,1,144
36068,1,144
36079,1,144
36392,1,144
36406,1,144
36533,1,144
36662,1,144
36873,1,144
36985,1,144
36993,1,144
37095,1,144
37177,1,144
37300,1,144
37400,1,144
37474,1,144
37633,1,144
37691,1,144
37715,1,144
37857,1,144
38037,1,144
38180,1,144
38239,1,144
38245,1,144
38446,1,144
38447,1,144
38583,1,144
38863,1,144
39039,1,144
39234,1,144
39342,1,144
39717,1,144
40177,1,144
40227,1,144
40378,1,144
40421,1,144
40585,1,144
40753,1,144
40769,1,144
40772,1,144
40828,1,144
41268,1,144
41305,1,144
41341,1,144
41679,1,144
41723,1,144
41848,1,144
41891,1,144
42042,1,144
42300,1,144
42518,1,144
42626,1,144
42634,1,144
42676,1,144
42802,1,144
42982,1,144
43011,1,144
43038,1,144
43072,1,144
43209,1,144
43314,1,144
43417,1,144
43438,1,144
43507,1,144
44058,1,144
44247,1,144
44343,1,144
44445,1,144
44740,1,144
45137,1,144
45244,1,144
45400,1,144
45449,1,144
45735,1,144
45740,1,144
46100,1,144
46198,1,144
46554,1,144
46590,1,144
46616,1,144
46617,1,144
46754,1,144
46846,1,144
47012,1,144
47235,1,144
47262,1,144
47268,1,144
47347,1,144
47652,1,144
47689,1,144
47751,1,144
48132,1,144
48974,1,144
49256,1,144
49307,1,144
49605,1,144
49728,1,144
50568,1,144
50594,1,144
50823,1,144
50860,1,144
51099,1,144
51138,1,144
51294,1,144
51299,1,144
51424,1,144
51503,1,144
51584,1,144
51593,1,144
51646,1,144
51738,1,144
51847,1,144
51902,1,144
51905,1,144
52377,1,144
52463,1,144
52548,1,144
52813,1,144
53024,1,144
53131,1,144
53284,1,144
53660,1,144
53705,1,144
54067,1,144
54128,1,144
54345,1,144
54362,1,144
54563,1,144
54608,1,144
54680,1,144
54875,1,144
54914,1,144
55096,1,144
55355,1,144
55365,1,144
55384,1,144
55838,1,144
55938,1,144
56119,1,144
56147,1,144
56223,1,144
56779,1,144
56807,1,144
56893,1,144
56973,1,144
57259,1,144
57292,1,144
57301,1,144
57451,1,144
57536,1,144
57564,1,144
57662,1,144
57668,1,144
57737,1,144
57791,1,144
57811,1,144
58145,1,144
58212,1,144
58314,1,144
58662,1,144
58699,1,144
59031,1,144
59063,1,144
59066,1,144
59331,1,144
59441,1,144
59474,1,144
59479,1,144
60051,1,144
60104,1,144
60158,1,144
60258,1,144
60320,1,144
60755,1,144
60860,1,144
60910,1,144
61154,1,144
61255,1,144
61351,1,144
61438,1,144
61472,1,144
61564,1,144
62033,1,144
62089,1,144
62330,1,144
62679,1,144
62770,1,144
63340,1,144
63508,1,144
63551,1,144
63750,1,144
63785,1,144
64040,1,144
64068,1,144
64128,1,144
64247,1,144
64456,1,144
64635,1,144
64789,1,144
64949,1,144
65021,1,144
65385,1,144
65402,1,144
65888,1,144
65969,1,144
66025,1,144
66042,1,144
66048,1,144
66282,1,144
66633,1,144
66665,1,144
