repo_id,repo_full_name,language,topic_count,stars_count,forks_count,repo_popularity_count
576201,mrdoob/three.js,JavaScript,1,113027,36383,1500
858127,pandas-dev/pandas,Python,1,48974,20012,1500
931135,Leaflet/Leaflet,JavaScript,1,45192,6134,1500
1362490,psf/requests,Python,1,54038,9969,1500
1644196,JuliaLang/julia,Julia,1,48838,5790,1500
2126244,twbs/bootstrap,MDX,1,174317,78823,1500
3214406,meteor/meteor,JavaScript,1,44780,5247,1500
4164482,django/django,Python,1,87853,33855,1500
5108051,opencv/opencv,C++,1,89055,56652,1500
5625464,pyenv/pyenv,Shell,1,44885,3250,1500
6498492,airbnb/javascript,JavaScript,1,148085,26651,1500
7569578,discourse/discourse,Ruby,1,47256,8934,1500
7741856,pixijs/pixijs,TypeScript,1,47397,5029,1500
9384267,electron/electron,C++,1,121619,17246,1500
9852918,TryGhost/Ghost,JavaScript,1,53915,11708,1500
10270250,react/react,JavaScript,1,245816,51056,1500
10744183,netdata/netdata,C,1,79143,6450,1500
11730342,vuejs/vue,TypeScript,1,209869,33706,1500
12256376,ionic-team/ionic-framework,TypeScript,1,52512,13359,1500
12888993,home-assistant/core,Python,1,87701,37666,1500
14098069,justjavac/free-programming-books-zh_CN,Unknown,1,117105,28233,1500
14440270,getify/You-Dont-Know-JS,Unknown,1,184527,33525,1500
15062869,jestjs/jest,TypeScript,1,45440,6662,1500
19745004,odoo/odoo,Python,1,52388,32787,1500
20929025,microsoft/TypeScript,TypeScript,1,109226,13429,1500
21289110,vinta/awesome-python,Python,1,302737,28076,1500
22670857,enaqx/awesome-react,Unknown,1,73610,7584,1500
22887094,tesseract-ocr/tesseract,C++,1,74666,10657,1500
23083156,mui/material-ui,JavaScript,1,98403,32603,1500
23088740,axios/axios,JavaScript,1,109076,11712,1500
24195339,angular/angular,TypeScript,1,100327,27176,1500
26066727,mermaid-js/mermaid,TypeScript,1,88629,9039,1500
27193779,nodejs/node,JavaScript,1,117760,35675,1500
28457823,freeCodeCamp/freeCodeCamp,TypeScript,1,446814,44925,1500
29028775,react/react-native,C++,1,126005,25176,1500
32689863,3b1b/manim,Python,1,87567,7309,1500
33614304,nvbn/thefuck,Python,1,97329,3945,1500
33884891,apache/airflow,Python,1,45800,17234,1500
34526884,ant-design/ant-design,TypeScript,1,98343,54625,1500
35866694,RocketChat/Rocket.Chat,TypeScript,1,45456,13644,1500
39464018,apache/superset,TypeScript,1,73275,17606,1500
43441403,strapi/strapi,TypeScript,1,72354,9739,566
45717250,tensorflow/tensorflow,C++,1,195642,75177,1500
47018239,DopplerHQ/awesome-interview-questions,Unknown,1,83070,9532,1500
54173593,storybookjs/storybook,TypeScript,1,90326,10129,1500
58028038,521xueweihan/HelloGitHub,Python,1,161166,12153,1500
61893399,brillout/awesome-react-components,Unknown,1,47764,3782,1500
62367558,vercel/hyper,TypeScript,1,44600,3561,1500
63476337,TheAlgorithms/Python,Python,1,221924,50758,1500
63537249,react/create-react-app,JavaScript,1,103326,26997,1500
65388917,jakevdp/PythonDataScienceHandbook,Jupyter Notebook,1,48525,18980,1500
65600975,pytorch/pytorch,Python,1,100728,28009,1500
65750241,expo/expo,TypeScript,1,50052,12738,1500
67274736,ElemeFE/element,Vue,1,54118,14458,1500
70107786,vercel/next.js,JavaScript,1,139981,31219,1500
71583602,Developer-Y/cs-video-courses,Unknown,1,81786,11301,1500
74791366,ryanmcdermott/clean-code-javascript,JavaScript,1,94448,12460,1500
75104123,prettier/prettier,JavaScript,1,52010,4741,1500
79162682,laurent22/joplin,TypeScript,1,55180,6141,1500
80945428,nestjs/nest,TypeScript,1,75826,8319,1500
83222441,donnemartin/system-design-primer,Python,1,352930,56693,1500
88011908,practical-tutorials/project-based-learning,Unknown,1,268897,34848,1500
91629816,freqtrade/freqtrade,Python,1,51415,10707,1500
101138315,d2l-ai/d2l-zh,Python,1,78314,12267,1500
103633984,goldbergyoni/nodebestpractices,Dockerfile,1,105316,10720,1500
107111421,thedaviddias/Front-End-Checklist,MDX,1,72920,6650,1500
109343098,serhii-londar/open-source-mac-os-apps,Unknown,1,49063,2585,1500
110058856,LeCoupa/awesome-cheatsheets,JavaScript,1,46007,6711,1500
112507086,Chalarangelo/30-seconds-of-code,JavaScript,1,128085,12477,1500
121395510,CyC2018/CS-Notes,Unknown,1,184542,50892,1500
126577260,trekhleb/javascript-algorithms,JavaScript,1,196083,31057,1500
133442384,denoland/deno,Rust,1,107055,6065,1500
135614069,sudheerj/reactjs-interview-questions,JavaScript,1,44642,10370,1500
135786093,typescript-cheatsheets/react,TypeScript,1,47066,4292,1500
139824423,Avik-Jain/100-Days-Of-ML-Code,Unknown,1,51241,11540,1500
155220641,huggingface/transformers,Python,1,161564,33496,1500
156157055,GokuMohandas/Made-With-ML,Jupyter Notebook,1,48019,7553,1500
159152904,jeecgboot/JeecgBoot,Java,1,46727,16050,1500
160919119,fastapi/fastapi,Python,1,99170,9432,1500
162998479,sherlock-project/sherlock,Python,1,84961,9924,1500
163591278,GitHubDaily/GitHubDaily,Unknown,1,46766,4640,1500
172562475,florinpop17/app-ideas,Unknown,1,94948,10485,1500
192925833,prisma/prisma,TypeScript,1,46265,2242,1500
202367615,lyswhut/lx-music-desktop,TypeScript,1,51545,6857,1500
204086862,streamlit/streamlit,Python,1,44963,4279,1500
207645083,TanStack/query,TypeScript,1,49740,3885,1500
208728772,milvus-io/milvus,Go,1,44762,4065,1500
212639071,bregman-arie/devops-exercises,Python,1,82751,19531,1500
221981891,microsoft/playwright,TypeScript,1,90886,6033,1500
229764465,Asabeneh/30-Days-Of-JavaScript,JavaScript,1,46454,10436,1500
255378816,bigskysoftware/htmx,JavaScript,1,48197,1601,1500
265612440,coqui-ai/TTS,Python,1,45555,6115,1500
266417772,SimplifyJobs/Summer2026-Internships,Python,1,44903,3181,1500
274495425,remotion-dev/remotion,TypeScript,1,50012,3575,1500
287463830,microsoft/qlib,Python,1,44357,7008,1500
307260205,yt-dlp/yt-dlp,Python,1,170363,14358,1500
311525798,microsoft/Web-Dev-For-Beginners,JavaScript,1,95878,15593,1500
343965132,microsoft/ML-For-Beginners,Jupyter Notebook,1,86796,21068,1500
344190478,microsoft/AI-For-Beginners,Jupyter Notebook,1,48114,9966,1500
357728969,oven-sh/bun,Rust,1,93148,4699,1500
364474335,google/zx,JavaScript,1,45534,1268,1500
365739812,tldraw/tldraw,TypeScript,1,47776,3296,1500
453717720,AykutSarac/jsoncrack.com,TypeScript,1,44126,3554,1500
455229168,immich-app/immich,TypeScript,1,103247,5841,1500
522158088,zhayujie/CowAgent,Python,1,45278,10197,1500
523043277,astral-sh/ruff,Rust,1,47960,2148,1500
527591471,AUTOMATIC1111/stable-diffusion-webui,Python,1,163676,30368,1500
542284380,usebruno/bruno,JavaScript,1,44879,2575,1500
552661142,langchain-ai/langchain,Python,1,139206,23077,1500
560704231,run-llama/llama_index,Python,1,50109,7553,1500
568098118,makeplane/plane,TypeScript,1,50762,4498,1500
572984571,twentyhq/twenty,TypeScript,1,49849,7205,1500
574523116,f/prompts.chat,HTML,1,163673,21224,1500
579082810,dair-ai/Prompt-Engineering-Guide,MDX,1,75589,8207,1500
585146387,shadcn-ui/ui,TypeScript,1,116491,9052,1500
589831718,Comfy-Org/ComfyUI,Python,1,116862,13672,1500
599320067,langflow-ai/langflow,Python,1,149625,9259,1500
599547518,vllm-project/vllm,Python,1,82772,18023,1500
612344730,ChatGPTNextWeb/NextChat,TypeScript,1,88240,59583,1500
614765452,Significant-Gravitas/AutoGPT,Python,1,184930,46145,1500
615869301,mudler/LocalAI,Go,1,46831,4134,1500
621803253,FlowiseAI/Flowise,TypeScript,1,53545,24511,1500
626805178,langgenius/dify,TypeScript,1,145081,22834,1500
655099582,mlabonne/llm-course,Unknown,1,80097,9325,1500
655806940,microsoft/generative-ai-for-beginners,Jupyter Notebook,1,111933,60109,1500
658928958,ollama/ollama,Go,1,174059,16595,1500
669879380,rasbt/LLMs-from-scratch,Jupyter Notebook,1,97103,14853,1500
671269505,BerriAI/litellm,Python,1,50264,8857,1500
695864515,hacksider/Deep-Live-Cam,Python,1,93802,13682,1500
699532645,astral-sh/uv,Rust,1,86336,3197,1500
701547123,open-webui/open-webui,Python,1,141381,20311,1500
770153867,harry0703/MoneyPrinterTurbo,Python,1,87240,12483,1500
771302083,OpenHands/OpenHands,Python,1,76856,9764,1500
787076358,firecrawl/firecrawl,TypeScript,1,132342,7787,1500
793375104,Shubhamsaboo/awesome-llm-apps,Python,1,114447,16987,1500
834369920,jingyaogong/minimind,Python,1,51700,6640,1500
881458615,browser-use/browser-use,Python,1,98673,11009,1500
909213664,TauricResearch/TradingAgents,Python,1,85800,16572,1500
969302809,hesreallyhim/awesome-claude-code,Python,1,46358,4040,1500
997737944,ruvnet/RuView,Rust,1,73633,9823,1500
1024554267,NousResearch/hermes-agent,Python,1,192692,33623,1500
