repo_id,repo_full_name,language,topic_count,stars_count,forks_count,repo_popularity_count,train_interaction_count,validation_interaction_count,train_popularity_share,train_popularity_rank
576201,mrdoob/three.js,JavaScript,1,113027,36383,1500,1500,0,0.007896232970457561,1
202367615,lyswhut/lx-music-desktop,TypeScript,1,51545,6857,1500,1484,9,0.0078120064854393465,2
858127,pandas-dev/pandas,Python,1,48974,20012,1500,1477,20,0.0077751573982438775,3
266417772,SimplifyJobs/Summer2026-Internships,Python,1,44903,3181,1500,1477,12,0.0077751573982438775,3
28457823,freeCodeCamp/freeCodeCamp,TypeScript,1,446814,44925,1500,1467,22,0.007722515845107494,5
14098069,justjavac/free-programming-books-zh_CN,Unknown,1,117105,28233,1500,1463,28,0.00770145922385294,6
931135,Leaflet/Leaflet,JavaScript,1,45192,6134,1500,1458,42,0.007675138447284749,7
159152904,jeecgboot/JeecgBoot,Java,1,46727,16050,1500,1450,30,0.007633025204775642,8
344190478,microsoft/AI-For-Beginners,Jupyter Notebook,1,48114,9966,1500,1446,20,0.007611968583521088,9
63476337,TheAlgorithms/Python,Python,1,221924,50758,1500,1444,28,0.007601440272893812,10
522158088,zhayujie/CowAgent,Python,1,45278,10197,1500,1443,28,0.0075961761175801735,11
455229168,immich-app/immich,TypeScript,1,103247,5841,1500,1439,27,0.0075751194963256194,12
307260205,yt-dlp/yt-dlp,Python,1,170363,14358,1500,1431,28,0.007533006253816513,13
6498492,airbnb/javascript,JavaScript,1,148085,26651,1500,1430,49,0.007527742098502874,14
101138315,d2l-ai/d2l-zh,Python,1,78314,12267,1500,1430,40,0.007527742098502874,14
121395510,CyC2018/CS-Notes,Unknown,1,184542,50892,1500,1430,39,0.007527742098502874,14
1362490,psf/requests,Python,1,54038,9969,1500,1429,60,0.0075224779431892356,17
5108051,opencv/opencv,C++,1,89055,56652,1500,1427,55,0.007511949632561959,18
58028038,521xueweihan/HelloGitHub,Python,1,161166,12153,1500,1425,46,0.007501421321934682,19
208728772,milvus-io/milvus,Go,1,44762,4065,1500,1421,48,0.007480364700680129,20
311525798,microsoft/Web-Dev-For-Beginners,JavaScript,1,95878,15593,1500,1420,29,0.007475100545366491,21
1644196,JuliaLang/julia,Julia,1,48838,5790,1500,1418,70,0.007464572234739213,22
19745004,odoo/odoo,Python,1,52388,32787,1500,1410,59,0.007422458992230107,23
32689863,3b1b/manim,Python,1,87567,7309,1500,1406,46,0.007401402370975553,24
2126244,twbs/bootstrap,MDX,1,174317,78823,1500,1405,80,0.0073961382156619146,25
91629816,freqtrade/freqtrade,Python,1,51415,10707,1500,1405,44,0.0073961382156619146,25
997737944,ruvnet/RuView,Rust,1,73633,9823,1500,1405,16,0.0073961382156619146,25
7741856,pixijs/pixijs,TypeScript,1,47397,5029,1500,1403,73,0.007385609905034638,28
1106996539,nextlevelbuilder/ui-ux-pro-max-skill,Python,1,91269,9530,1500,1402,17,0.007380345749721,29
1136590548,affaan-m/ECC,JavaScript,1,214843,33020,1500,1401,15,0.007375081594407361,30
343965132,microsoft/ML-For-Beginners,Jupyter Notebook,1,86796,21068,1500,1400,45,0.007369817439093723,31
612344730,ChatGPTNextWeb/NextChat,TypeScript,1,88240,59583,1500,1400,47,0.007369817439093723,31
163591278,GitHubDaily/GitHubDaily,Unknown,1,46766,4640,1500,1398,60,0.0073592891284664464,33
135614069,sudheerj/reactjs-interview-questions,JavaScript,1,44642,10370,1500,1392,60,0.007327704196584616,34
287463830,microsoft/qlib,Python,1,44357,7008,1500,1390,45,0.007317175885957339,35
589831718,Comfy-Org/ComfyUI,Python,1,116862,13672,1500,1390,76,0.007317175885957339,35
155220641,huggingface/transformers,Python,1,161564,33496,1500,1388,74,0.0073066475753300626,37
9852918,TryGhost/Ghost,JavaScript,1,53915,11708,1500,1386,76,0.007296119264702786,38
22887094,tesseract-ocr/tesseract,C++,1,74666,10657,1500,1384,70,0.007285590954075509,39
24195339,angular/angular,TypeScript,1,100327,27176,1500,1381,81,0.007269798488134594,40
655806940,microsoft/generative-ai-for-beginners,Jupyter Notebook,1,111933,60109,1500,1379,56,0.007259270177507317,41
14440270,getify/You-Dont-Know-JS,Unknown,1,184527,33525,1500,1373,104,0.007227685245625487,42
5625464,pyenv/pyenv,Shell,1,44885,3250,1500,1370,80,0.007211892779684572,43
65388917,jakevdp/PythonDataScienceHandbook,Jupyter Notebook,1,48525,18980,1500,1368,73,0.007201364469057295,44
67274736,ElemeFE/element,Vue,1,54118,14458,1500,1364,85,0.0071803078478027416,45
10270250,react/react,JavaScript,1,245816,51056,1500,1363,102,0.007175043692489103,46
574523116,f/prompts.chat,HTML,1,163673,21224,1500,1362,73,0.007169779537175465,47
909213664,TauricResearch/TradingAgents,Python,1,85800,16572,1500,1362,26,0.007169779537175465,47
7569578,discourse/discourse,Ruby,1,47256,8934,1500,1358,106,0.007148722915920912,49
34526884,ant-design/ant-design,TypeScript,1,98343,54625,1500,1358,65,0.007148722915920912,49
9384267,electron/electron,C++,1,121619,17246,1500,1355,105,0.007132930449979996,51
12256376,ionic-team/ionic-framework,TypeScript,1,52512,13359,1500,1355,111,0.007132930449979996,51
527591471,AUTOMATIC1111/stable-diffusion-webui,Python,1,163676,30368,1500,1355,69,0.007132930449979996,51
655099582,mlabonne/llm-course,Unknown,1,80097,9325,1500,1354,76,0.007127666294666358,54
11730342,vuejs/vue,TypeScript,1,209869,33706,1500,1352,95,0.007117137984039081,55
229764465,Asabeneh/30-Days-Of-JavaScript,JavaScript,1,46454,10436,1500,1352,61,0.007117137984039081,55
453717720,AykutSarac/jsoncrack.com,TypeScript,1,44126,3554,1500,1347,69,0.0070908172074708896,57
21289110,vinta/awesome-python,Python,1,302737,28076,1500,1343,109,0.0070697605862163355,58
20929025,microsoft/TypeScript,TypeScript,1,109226,13429,1500,1342,111,0.007064496430902697,59
