repo_id_left,repo_name_left,repo_id_right,repo_name_right,cooccurrence_count
1362490,psf/requests,4164482,django/django,208
552661142,langchain-ai/langchain,560704231,run-llama/llama_index,206
576201,mrdoob/three.js,3214406,meteor/meteor,183
12256376,ionic-team/ionic-framework,14440270,getify/You-Dont-Know-JS,162
22670857,enaqx/awesome-react,23083156,mui/material-ui,159
15062869,jestjs/jest,22670857,enaqx/awesome-react,149
576201,mrdoob/three.js,931135,Leaflet/Leaflet,137
11730342,vuejs/vue,15062869,jestjs/jest,136
576201,mrdoob/three.js,2126244,twbs/bootstrap,131
9384267,electron/electron,15062869,jestjs/jest,127
2126244,twbs/bootstrap,3214406,meteor/meteor,124
858127,pandas-dev/pandas,1644196,JuliaLang/julia,123
15062869,jestjs/jest,23083156,mui/material-ui,123
10270250,react/react,15062869,jestjs/jest,120
931135,Leaflet/Leaflet,3214406,meteor/meteor,118
10270250,react/react,12256376,ionic-team/ionic-framework,118
61893399,brillout/awesome-react-components,70107786,vercel/next.js,118
9384267,electron/electron,27193779,nodejs/node,117
15062869,jestjs/jest,27193779,nodejs/node,117
63537249,react/create-react-app,70107786,vercel/next.js,117
70107786,vercel/next.js,75104123,prettier/prettier,117
9384267,electron/electron,11730342,vuejs/vue,115
10270250,react/react,11730342,vuejs/vue,112
22670857,enaqx/awesome-react,27193779,nodejs/node,111
54173593,storybookjs/storybook,63537249,react/create-react-app,111
5625464,pyenv/pyenv,21289110,vinta/awesome-python,109
62367558,vercel/hyper,70107786,vercel/next.js,109
62367558,vercel/hyper,63537249,react/create-react-app,108
54173593,storybookjs/storybook,61893399,brillout/awesome-react-components,106
6498492,airbnb/javascript,10270250,react/react,104
560704231,run-llama/llama_index,579082810,dair-ai/Prompt-Engineering-Guide,103
858127,pandas-dev/pandas,1362490,psf/requests,102
1362490,psf/requests,3214406,meteor/meteor,102
12256376,ionic-team/ionic-framework,15062869,jestjs/jest,101
11730342,vuejs/vue,27193779,nodejs/node,99
61893399,brillout/awesome-react-components,63537249,react/create-react-app,99
11730342,vuejs/vue,22670857,enaqx/awesome-react,98
15062869,jestjs/jest,26066727,mermaid-js/mermaid,98
11730342,vuejs/vue,12256376,ionic-team/ionic-framework,97
14440270,getify/You-Dont-Know-JS,15062869,jestjs/jest,97
22670857,enaqx/awesome-react,23088740,axios/axios,97
576201,mrdoob/three.js,1362490,psf/requests,96
7741856,pixijs/pixijs,10270250,react/react,96
23083156,mui/material-ui,27193779,nodejs/node,96
22670857,enaqx/awesome-react,29028775,react/react-native,94
15062869,jestjs/jest,20929025,microsoft/TypeScript,93
20929025,microsoft/TypeScript,27193779,nodejs/node,93
552661142,langchain-ai/langchain,579082810,dair-ai/Prompt-Engineering-Guide,93
9384267,electron/electron,22670857,enaqx/awesome-react,91
54173593,storybookjs/storybook,70107786,vercel/next.js,91
931135,Leaflet/Leaflet,1362490,psf/requests,90
12888993,home-assistant/core,21289110,vinta/awesome-python,90
103633984,goldbergyoni/nodebestpractices,110058856,LeCoupa/awesome-cheatsheets,90
9384267,electron/electron,20929025,microsoft/TypeScript,89
26066727,mermaid-js/mermaid,27193779,nodejs/node,89
88011908,practical-tutorials/project-based-learning,103633984,goldbergyoni/nodebestpractices,89
10270250,react/react,14440270,getify/You-Dont-Know-JS,87
11730342,vuejs/vue,20929025,microsoft/TypeScript,87
103633984,goldbergyoni/nodebestpractices,112507086,Chalarangelo/30-seconds-of-code,85
560704231,run-llama/llama_index,599320067,langflow-ai/langflow,84
3214406,meteor/meteor,7569578,discourse/discourse,83
10270250,react/react,22670857,enaqx/awesome-react,83
9852918,TryGhost/Ghost,10270250,react/react,82
12888993,home-assistant/core,23083156,mui/material-ui,82
26066727,mermaid-js/mermaid,35866694,RocketChat/Rocket.Chat,82
62367558,vercel/hyper,75104123,prettier/prettier,82
7741856,pixijs/pixijs,11730342,vuejs/vue,81
9852918,TryGhost/Ghost,14440270,getify/You-Dont-Know-JS,81
23088740,axios/axios,27193779,nodejs/node,81
560704231,run-llama/llama_index,574523116,f/prompts.chat,81
15062869,jestjs/jest,29028775,react/react-native,80
23088740,axios/axios,54173593,storybookjs/storybook,80
54173593,storybookjs/storybook,62367558,vercel/hyper,80
599320067,langflow-ai/langflow,621803253,FlowiseAI/Flowise,80
6498492,airbnb/javascript,7569578,discourse/discourse,79
9384267,electron/electron,26066727,mermaid-js/mermaid,79
11730342,vuejs/vue,23083156,mui/material-ui,79
552661142,langchain-ai/langchain,599320067,langflow-ai/langflow,79
572984571,twentyhq/twenty,658928958,ollama/ollama,79
9384267,electron/electron,12256376,ionic-team/ionic-framework,78
9384267,electron/electron,14440270,getify/You-Dont-Know-JS,78
12888993,home-assistant/core,26066727,mermaid-js/mermaid,78
23083156,mui/material-ui,26066727,mermaid-js/mermaid,78
33884891,apache/airflow,39464018,apache/superset,78
63537249,react/create-react-app,75104123,prettier/prettier,78
1362490,psf/requests,2126244,twbs/bootstrap,77
6498492,airbnb/javascript,7741856,pixijs/pixijs,77
9852918,TryGhost/Ghost,12256376,ionic-team/ionic-framework,77
11730342,vuejs/vue,14440270,getify/You-Dont-Know-JS,77
22670857,enaqx/awesome-react,26066727,mermaid-js/mermaid,77
54173593,storybookjs/storybook,75104123,prettier/prettier,77
61893399,brillout/awesome-react-components,67274736,ElemeFE/element,77
931135,Leaflet/Leaflet,7569578,discourse/discourse,76
12256376,ionic-team/ionic-framework,22670857,enaqx/awesome-react,76
23083156,mui/material-ui,35866694,RocketChat/Rocket.Chat,76
27193779,nodejs/node,35866694,RocketChat/Rocket.Chat,75
27193779,nodejs/node,70107786,vercel/next.js,75
88011908,practical-tutorials/project-based-learning,110058856,LeCoupa/awesome-cheatsheets,75
103633984,goldbergyoni/nodebestpractices,126577260,trekhleb/javascript-algorithms,75
7741856,pixijs/pixijs,12256376,ionic-team/ionic-framework,74
9384267,electron/electron,10270250,react/react,74
22670857,enaqx/awesome-react,54173593,storybookjs/storybook,74
23088740,axios/axios,29028775,react/react-native,74
12888993,home-assistant/core,35866694,RocketChat/Rocket.Chat,73
20929025,microsoft/TypeScript,23083156,mui/material-ui,73
21289110,vinta/awesome-python,26066727,mermaid-js/mermaid,73
61893399,brillout/awesome-react-components,74791366,ryanmcdermott/clean-code-javascript,73
15062869,jestjs/jest,23088740,axios/axios,72
23088740,axios/axios,63537249,react/create-react-app,72
23088740,axios/axios,70107786,vercel/next.js,72
192925833,prisma/prisma,207645083,TanStack/query,72
552661142,langchain-ai/langchain,574523116,f/prompts.chat,72
931135,Leaflet/Leaflet,4164482,django/django,71
24195339,angular/angular,27193779,nodejs/node,71
7569578,discourse/discourse,10270250,react/react,69
7741856,pixijs/pixijs,9852918,TryGhost/Ghost,69
7741856,pixijs/pixijs,15062869,jestjs/jest,69
12256376,ionic-team/ionic-framework,23083156,mui/material-ui,69
14440270,getify/You-Dont-Know-JS,22670857,enaqx/awesome-react,69
599320067,langflow-ai/langflow,614765452,Significant-Gravitas/AutoGPT,69
576201,mrdoob/three.js,1644196,JuliaLang/julia,68
3214406,meteor/meteor,4164482,django/django,68
9384267,electron/electron,23083156,mui/material-ui,68
9852918,TryGhost/Ghost,15062869,jestjs/jest,68
12256376,ionic-team/ionic-framework,26066727,mermaid-js/mermaid,68
22670857,enaqx/awesome-react,35866694,RocketChat/Rocket.Chat,68
23083156,mui/material-ui,29028775,react/react-native,68
61893399,brillout/awesome-react-components,62367558,vercel/hyper,68
931135,Leaflet/Leaflet,2126244,twbs/bootstrap,67
931135,Leaflet/Leaflet,6498492,airbnb/javascript,67
9384267,electron/electron,9852918,TryGhost/Ghost,67
27193779,nodejs/node,29028775,react/react-native,67
70107786,vercel/next.js,74791366,ryanmcdermott/clean-code-javascript,67
109343098,serhii-londar/open-source-mac-os-apps,110058856,LeCoupa/awesome-cheatsheets,67
7569578,discourse/discourse,9852918,TryGhost/Ghost,66
20929025,microsoft/TypeScript,22670857,enaqx/awesome-react,66
110058856,LeCoupa/awesome-cheatsheets,112507086,Chalarangelo/30-seconds-of-code,66
576201,mrdoob/three.js,7569578,discourse/discourse,65
6498492,airbnb/javascript,14440270,getify/You-Dont-Know-JS,65
23088740,axios/axios,75104123,prettier/prettier,65
45717250,tensorflow/tensorflow,65600975,pytorch/pytorch,65
160919119,fastapi/fastapi,162998479,sherlock-project/sherlock,65
10270250,react/react,20929025,microsoft/TypeScript,64
10270250,react/react,23083156,mui/material-ui,64
61893399,brillout/awesome-react-components,75104123,prettier/prettier,64
79162682,laurent22/joplin,110058856,LeCoupa/awesome-cheatsheets,64
103633984,goldbergyoni/nodebestpractices,109343098,serhii-londar/open-source-mac-os-apps,64
103633984,goldbergyoni/nodebestpractices,133442384,denoland/deno,64
133442384,denoland/deno,135786093,typescript-cheatsheets/react,64
135786093,typescript-cheatsheets/react,207645083,TanStack/query,64
574523116,f/prompts.chat,579082810,dair-ai/Prompt-Engineering-Guide,64
615869301,mudler/LocalAI,621803253,FlowiseAI/Flowise,64
10744183,netdata/netdata,39464018,apache/superset,63
11730342,vuejs/vue,26066727,mermaid-js/mermaid,63
12256376,ionic-team/ionic-framework,35866694,RocketChat/Rocket.Chat,63
14440270,getify/You-Dont-Know-JS,27193779,nodejs/node,63
19745004,odoo/odoo,21289110,vinta/awesome-python,63
27193779,nodejs/node,62367558,vercel/hyper,63
29028775,react/react-native,63537249,react/create-react-app,63
1362490,psf/requests,7569578,discourse/discourse,62
3214406,meteor/meteor,10270250,react/react,62
11730342,vuejs/vue,23088740,axios/axios,62
11730342,vuejs/vue,35866694,RocketChat/Rocket.Chat,62
15062869,jestjs/jest,54173593,storybookjs/storybook,62
65388917,jakevdp/PythonDataScienceHandbook,65600975,pytorch/pytorch,62
65600975,pytorch/pytorch,155220641,huggingface/transformers,62
79162682,laurent22/joplin,88011908,practical-tutorials/project-based-learning,62
79162682,laurent22/joplin,103633984,goldbergyoni/nodebestpractices,62
160919119,fastapi/fastapi,204086862,streamlit/streamlit,62
2126244,twbs/bootstrap,7569578,discourse/discourse,61
6498492,airbnb/javascript,15062869,jestjs/jest,61
7741856,pixijs/pixijs,9384267,electron/electron,61
9384267,electron/electron,29028775,react/react-native,61
10270250,react/react,27193779,nodejs/node,61
12888993,home-assistant/core,15062869,jestjs/jest,61
12888993,home-assistant/core,19745004,odoo/odoo,61
12888993,home-assistant/core,22670857,enaqx/awesome-react,61
23083156,mui/material-ui,23088740,axios/axios,61
23083156,mui/material-ui,54173593,storybookjs/storybook,61
74791366,ryanmcdermott/clean-code-javascript,75104123,prettier/prettier,61
80945428,nestjs/nest,103633984,goldbergyoni/nodebestpractices,61
139824423,Avik-Jain/100-Days-Of-ML-Code,162998479,sherlock-project/sherlock,61
29028775,react/react-native,62367558,vercel/hyper,60
74791366,ryanmcdermott/clean-code-javascript,103633984,goldbergyoni/nodebestpractices,60
79162682,laurent22/joplin,112507086,Chalarangelo/30-seconds-of-code,60
110058856,LeCoupa/awesome-cheatsheets,126577260,trekhleb/javascript-algorithms,60
110058856,LeCoupa/awesome-cheatsheets,139824423,Avik-Jain/100-Days-Of-ML-Code,60
9852918,TryGhost/Ghost,11730342,vuejs/vue,59
10744183,netdata/netdata,54173593,storybookjs/storybook,59
12256376,ionic-team/ionic-framework,21289110,vinta/awesome-python,59
15062869,jestjs/jest,21289110,vinta/awesome-python,59
29028775,react/react-native,70107786,vercel/next.js,59
35866694,RocketChat/Rocket.Chat,54173593,storybookjs/storybook,59
35866694,RocketChat/Rocket.Chat,61893399,brillout/awesome-react-components,59
61893399,brillout/awesome-react-components,103633984,goldbergyoni/nodebestpractices,59
112507086,Chalarangelo/30-seconds-of-code,126577260,trekhleb/javascript-algorithms,59
858127,pandas-dev/pandas,931135,Leaflet/Leaflet,58
858127,pandas-dev/pandas,4164482,django/django,58
931135,Leaflet/Leaflet,1644196,JuliaLang/julia,58
6498492,airbnb/javascript,9852918,TryGhost/Ghost,58
14440270,getify/You-Dont-Know-JS,26066727,mermaid-js/mermaid,58
15062869,jestjs/jest,19745004,odoo/odoo,58
71583602,Developer-Y/cs-video-courses,83222441,donnemartin/system-design-primer,58
207645083,TanStack/query,221981891,microsoft/playwright,58
599320067,langflow-ai/langflow,615869301,mudler/LocalAI,58
576201,mrdoob/three.js,7741856,pixijs/pixijs,57
3214406,meteor/meteor,7741856,pixijs/pixijs,57
6498492,airbnb/javascript,11730342,vuejs/vue,57
6498492,airbnb/javascript,12256376,ionic-team/ionic-framework,57
7741856,pixijs/pixijs,22670857,enaqx/awesome-react,57
9384267,electron/electron,35866694,RocketChat/Rocket.Chat,57
10744183,netdata/netdata,35866694,RocketChat/Rocket.Chat,57
15062869,jestjs/jest,62367558,vercel/hyper,57
21289110,vinta/awesome-python,22670857,enaqx/awesome-react,57
27193779,nodejs/node,75104123,prettier/prettier,57
39464018,apache/superset,54173593,storybookjs/storybook,57
88011908,practical-tutorials/project-based-learning,109343098,serhii-londar/open-source-mac-os-apps,57
931135,Leaflet/Leaflet,7741856,pixijs/pixijs,56
931135,Leaflet/Leaflet,10270250,react/react,56
4164482,django/django,7569578,discourse/discourse,56
9852918,TryGhost/Ghost,29028775,react/react-native,56
15062869,jestjs/jest,35866694,RocketChat/Rocket.Chat,56
20929025,microsoft/TypeScript,26066727,mermaid-js/mermaid,56
29028775,react/react-native,54173593,storybookjs/storybook,56
75104123,prettier/prettier,133442384,denoland/deno,56
79162682,laurent22/joplin,109343098,serhii-londar/open-source-mac-os-apps,56
80945428,nestjs/nest,133442384,denoland/deno,56
527591471,AUTOMATIC1111/stable-diffusion-webui,552661142,langchain-ai/langchain,56
7569578,discourse/discourse,9384267,electron/electron,55
10270250,react/react,29028775,react/react-native,55
14440270,getify/You-Dont-Know-JS,20929025,microsoft/TypeScript,55
20929025,microsoft/TypeScript,21289110,vinta/awesome-python,55
27193779,nodejs/node,54173593,storybookjs/storybook,55
67274736,ElemeFE/element,133442384,denoland/deno,55
74791366,ryanmcdermott/clean-code-javascript,88011908,practical-tutorials/project-based-learning,55
162998479,sherlock-project/sherlock,172562475,florinpop17/app-ideas,55
7741856,pixijs/pixijs,14440270,getify/You-Dont-Know-JS,54
9384267,electron/electron,21289110,vinta/awesome-python,54
47018239,DopplerHQ/awesome-interview-questions,61893399,brillout/awesome-react-components,54
79162682,laurent22/joplin,133442384,denoland/deno,54
523043277,astral-sh/ruff,699532645,astral-sh/uv,54
527591471,AUTOMATIC1111/stable-diffusion-webui,589831718,Comfy-Org/ComfyUI,54
5625464,pyenv/pyenv,12888993,home-assistant/core,53
14440270,getify/You-Dont-Know-JS,21289110,vinta/awesome-python,53
23088740,axios/axios,26066727,mermaid-js/mermaid,53
23088740,axios/axios,61893399,brillout/awesome-react-components,53
39464018,apache/superset,45717250,tensorflow/tensorflow,53
126577260,trekhleb/javascript-algorithms,133442384,denoland/deno,53
579082810,dair-ai/Prompt-Engineering-Guide,599320067,langflow-ai/langflow,53
655099582,mlabonne/llm-course,669879380,rasbt/LLMs-from-scratch,53
7569578,discourse/discourse,7741856,pixijs/pixijs,52
7741856,pixijs/pixijs,27193779,nodejs/node,52
11730342,vuejs/vue,29028775,react/react-native,52
15062869,jestjs/jest,63537249,react/create-react-app,52
19745004,odoo/odoo,35866694,RocketChat/Rocket.Chat,52
27193779,nodejs/node,61893399,brillout/awesome-react-components,52
39464018,apache/superset,62367558,vercel/hyper,52
126577260,trekhleb/javascript-algorithms,139824423,Avik-Jain/100-Days-Of-ML-Code,52
527591471,AUTOMATIC1111/stable-diffusion-webui,560704231,run-llama/llama_index,52
1644196,JuliaLang/julia,3214406,meteor/meteor,51
5625464,pyenv/pyenv,15062869,jestjs/jest,51
9852918,TryGhost/Ghost,27193779,nodejs/node,51
12888993,home-assistant/core,27193779,nodejs/node,51
21289110,vinta/awesome-python,23083156,mui/material-ui,51
21289110,vinta/awesome-python,33884891,apache/airflow,51
47018239,DopplerHQ/awesome-interview-questions,54173593,storybookjs/storybook,51
65750241,expo/expo,70107786,vercel/next.js,51
88011908,practical-tutorials/project-based-learning,126577260,trekhleb/javascript-algorithms,51
109343098,serhii-londar/open-source-mac-os-apps,162998479,sherlock-project/sherlock,51
