model_family,model_name,history_group,users,mean_train_history_count,ndcg_at_10,mrr,recall_at_10,ndcg_at_5,median_positive_rank,mean_positive_rank
graph_personalized_pagerank,ppr_ppmi_restart_0.50,1,6401,1.0,0.22711532385539682,0.1893317472484318,0.42009061084205596,0.18230201182723285,15.0,27.976097484768005
graph_personalized_pagerank,ppr_ppmi_restart_0.50,2,2814,2.0,0.19606287703204858,0.16305700265695713,0.3816631130063966,0.1496958684440429,16.0,28.772565742714995
graph_personalized_pagerank,ppr_ppmi_restart_0.50,3-4,2281,3.3581762384918896,0.14345269959506365,0.12124128955679704,0.3007452871547567,0.10080624061866902,22.0,32.79263480929417
graph_personalized_pagerank,ppr_ppmi_restart_0.50,5-9,1420,6.211267605633803,0.0983657231103246,0.09384034583952623,0.2,0.0714537890815853,31.5,39.30281690140845
graph_personalized_pagerank,ppr_ppmi_restart_0.50,10+,379,14.532981530343008,0.04277747888274921,0.05200953618415236,0.09498680738786279,0.02908775682874116,44.0,48.96569920844327
herd_mitigation_reranker,herd_mitigation_penalty_0.05,1,6401,1.0,0.23856069101122293,0.20015842927551308,0.43383846274019683,0.19448274947208882,14.0,25.533197937822216
herd_mitigation_reranker,herd_mitigation_penalty_0.05,2,2814,2.0,0.20377584066017637,0.17160232059030892,0.38734896943852165,0.1566599728519792,16.0,27.173773987206822
herd_mitigation_reranker,herd_mitigation_penalty_0.05,3-4,2281,3.3581762384918896,0.14933076340103088,0.12986961578611605,0.29723805348531346,0.10850396416464081,23.0,31.711968434896974
herd_mitigation_reranker,herd_mitigation_penalty_0.05,5-9,1420,6.211267605633803,0.1015558353453503,0.09669205125718335,0.20140845070422536,0.07396448940896712,32.5,39.140845070422536
herd_mitigation_reranker,herd_mitigation_penalty_0.05,10+,379,14.532981530343008,0.033623624810718684,0.043059590952252924,0.08179419525065963,0.017784930852505466,48.0,51.79155672823219
item_item_cosine,item_cosine_mean_shrink_0,1,6401,1.0,0.2375288953874479,0.19934707126685985,0.4330573347914388,0.19329881306897623,14.0,25.2927667551945
item_item_cosine,item_cosine_mean_shrink_0,2,2814,2.0,0.19142848814804234,0.15694647381879714,0.3834399431414357,0.14113466198356775,17.0,27.326581378820183
item_item_cosine,item_cosine_mean_shrink_0,3-4,2281,3.3581762384918896,0.13685456888030062,0.11920703217983934,0.2805786935554581,0.09886867768408422,23.0,32.17273125822008
item_item_cosine,item_cosine_mean_shrink_0,5-9,1420,6.211267605633803,0.08458675566681033,0.07953864716940066,0.18661971830985916,0.0525115167682005,33.0,40.186619718309856
item_item_cosine,item_cosine_mean_shrink_0,10+,379,14.532981530343008,0.023839498950915507,0.03809535163881665,0.05804749340369393,0.013972604623534285,51.0,53.891820580474935
rank_normalized_hybrid,hybrid_item_item_cosine=0.75_truncated_svd=0.00_graph_personalized_pagerank=0.25_training_popularity=0.00,1,6401,1.0,0.23643542742209914,0.19875916204102093,0.43008904858615843,0.19242880661321707,14.0,25.62021559131386
rank_normalized_hybrid,hybrid_item_item_cosine=0.75_truncated_svd=0.00_graph_personalized_pagerank=0.25_training_popularity=0.00,2,2814,2.0,0.1921123770063326,0.15857673045502693,0.3813077469793888,0.14096054683828232,16.0,27.50995024875622
rank_normalized_hybrid,hybrid_item_item_cosine=0.75_truncated_svd=0.00_graph_personalized_pagerank=0.25_training_popularity=0.00,3-4,2281,3.3581762384918896,0.13488702247630288,0.11685874292301203,0.2805786935554581,0.09476925974845384,23.0,32.21876370013152
rank_normalized_hybrid,hybrid_item_item_cosine=0.75_truncated_svd=0.00_graph_personalized_pagerank=0.25_training_popularity=0.00,5-9,1420,6.211267605633803,0.08564392079351485,0.08184050769371169,0.18450704225352113,0.05627635834253141,33.0,39.930281690140845
rank_normalized_hybrid,hybrid_item_item_cosine=0.75_truncated_svd=0.00_graph_personalized_pagerank=0.25_training_popularity=0.00,10+,379,14.532981530343008,0.026090930927579817,0.03959584595729978,0.0633245382585752,0.01540749578669748,50.0,52.74406332453826
training_popularity,training_popularity,1,6401,1.0,0.008826257539260337,0.020497597212826985,0.023433838462740195,0.0030888846097523195,85.0,82.72847992501171
training_popularity,training_popularity,2,2814,2.0,0.004345676376562212,0.017240629139038236,0.011371712864250177,0.0025052450352454347,93.0,88.41933191186922
training_popularity,training_popularity,3-4,2281,3.3581762384918896,0.0023996511378145567,0.014952134933994119,0.0070144673388864535,0.0006976041121337211,98.0,92.38886453309952
training_popularity,training_popularity,5-9,1420,6.211267605633803,0.002776058301611404,0.014121495332152964,0.007042253521126761,0.001705928118906014,103.0,96.02394366197183
training_popularity,training_popularity,10+,379,14.532981530343008,0.005424743116707842,0.014676237812477611,0.0158311345646438,0.002272699514899172,98.0,93.15303430079156
truncated_svd,svd_64_iter_15,1,6401,1.0,0.19247460546222991,0.164720201105415,0.33932198094047805,0.16082452299985336,29.0,46.752382440243714
truncated_svd,svd_64_iter_15,2,2814,2.0,0.17462150958532227,0.14656319271282975,0.3304904051172708,0.13795473983946732,25.0,42.779317697228144
truncated_svd,svd_64_iter_15,3-4,2281,3.3581762384918896,0.14754418732309543,0.12384117662062771,0.292415607189829,0.11150006187299355,28.0,44.75317843051293
truncated_svd,svd_64_iter_15,5-9,1420,6.211267605633803,0.10843988835084373,0.09166139701130566,0.24014084507042255,0.07228893033690126,31.0,44.87112676056338
truncated_svd,svd_64_iter_15,10+,379,14.532981530343008,0.05613143916747396,0.05355974736499318,0.15303430079155672,0.0254583420560407,36.0,46.49076517150396
