repo_id,first_complete_week,latest_complete_week,complete_feature_rows
576201,2010-03-29 00:00:00+00:00,2010-03-29 00:00:00+00:00,1
858127,2010-08-30 00:00:00+00:00,2013-07-08 00:00:00+00:00,140
931135,2010-09-27 00:00:00+00:00,2010-09-27 00:00:00+00:00,1
1362490,2011-02-14 00:00:00+00:00,2011-02-14 00:00:00+00:00,1
1644196,2011-04-25 00:00:00+00:00,2012-06-25 00:00:00+00:00,62
2126244,2011-08-01 00:00:00+00:00,2011-08-01 00:00:00+00:00,1
3214406,2012-01-23 00:00:00+00:00,2012-01-23 00:00:00+00:00,1
4164482,2012-04-30 00:00:00+00:00,2012-04-30 00:00:00+00:00,1
5108051,2012-07-23 00:00:00+00:00,2013-12-23 00:00:00+00:00,71
5625464,2012-09-03 00:00:00+00:00,2014-10-13 00:00:00+00:00,89
6498492,2012-11-05 00:00:00+00:00,2013-03-25 00:00:00+00:00,19
7569578,2013-01-14 00:00:00+00:00,2013-01-14 00:00:00+00:00,1
7741856,2013-03-04 00:00:00+00:00,2013-04-22 00:00:00+00:00,8
9384267,2013-12-16 00:00:00+00:00,2014-05-19 00:00:00+00:00,3
9852918,2013-05-13 00:00:00+00:00,2013-10-21 00:00:00+00:00,9
10270250,2013-06-03 00:00:00+00:00,2013-08-05 00:00:00+00:00,10
10744183,2013-12-23 00:00:00+00:00,2016-04-04 00:00:00+00:00,20
11730342,2013-10-14 00:00:00+00:00,2014-06-30 00:00:00+00:00,30
12256376,2013-09-02 00:00:00+00:00,2013-12-09 00:00:00+00:00,8
12888993,2014-01-06 00:00:00+00:00,2015-02-16 00:00:00+00:00,21
14098069,2013-11-11 00:00:00+00:00,2014-04-14 00:00:00+00:00,23
14440270,2013-11-18 00:00:00+00:00,2013-12-02 00:00:00+00:00,3
15062869,2013-12-16 00:00:00+00:00,2014-11-24 00:00:00+00:00,29
19745004,2014-05-19 00:00:00+00:00,2015-01-19 00:00:00+00:00,36
20929025,2014-07-21 00:00:00+00:00,2014-08-11 00:00:00+00:00,4
21289110,2014-06-30 00:00:00+00:00,2014-07-07 00:00:00+00:00,2
22670857,2014-08-11 00:00:00+00:00,2014-11-03 00:00:00+00:00,13
22887094,2014-08-18 00:00:00+00:00,2015-11-09 00:00:00+00:00,47
23083156,2014-09-08 00:00:00+00:00,2014-11-17 00:00:00+00:00,11
23088740,2014-09-08 00:00:00+00:00,2015-12-14 00:00:00+00:00,67
24195339,2014-10-06 00:00:00+00:00,2015-03-23 00:00:00+00:00,25
26066727,2014-12-01 00:00:00+00:00,2014-12-08 00:00:00+00:00,2
27193779,2014-12-01 00:00:00+00:00,2014-12-08 00:00:00+00:00,2
28457823,2014-12-29 00:00:00+00:00,2015-07-06 00:00:00+00:00,28
29028775,2015-01-12 00:00:00+00:00,2015-03-30 00:00:00+00:00,10
32689863,2015-04-20 00:00:00+00:00,2017-09-04 00:00:00+00:00,91
33614304,2015-04-13 00:00:00+00:00,2015-04-20 00:00:00+00:00,2
33884891,2015-06-08 00:00:00+00:00,2016-01-18 00:00:00+00:00,33
34526884,2021-02-22 00:00:00+00:00,2021-02-22 00:00:00+00:00,1
35866694,2015-05-25 00:00:00+00:00,2015-06-08 00:00:00+00:00,3
39464018,2015-07-27 00:00:00+00:00,2016-04-04 00:00:00+00:00,33
43441403,2015-10-05 00:00:00+00:00,2016-08-15 00:00:00+00:00,46
45717250,2015-11-16 00:00:00+00:00,2015-11-16 00:00:00+00:00,1
47018239,2015-11-30 00:00:00+00:00,2015-12-07 00:00:00+00:00,2
54173593,2016-03-28 00:00:00+00:00,2016-04-04 00:00:00+00:00,2
58028038,2016-05-09 00:00:00+00:00,2017-06-05 00:00:00+00:00,46
61893399,2016-06-27 00:00:00+00:00,2016-09-05 00:00:00+00:00,9
62367558,2016-07-04 00:00:00+00:00,2016-07-18 00:00:00+00:00,3
63476337,2016-08-01 00:00:00+00:00,2017-10-02 00:00:00+00:00,62
63537249,2016-07-18 00:00:00+00:00,2016-07-25 00:00:00+00:00,2
65388917,2016-08-15 00:00:00+00:00,2017-01-09 00:00:00+00:00,22
65600975,2016-08-22 00:00:00+00:00,2017-01-23 00:00:00+00:00,14
65750241,2016-08-22 00:00:00+00:00,2017-09-25 00:00:00+00:00,58
67274736,2016-09-05 00:00:00+00:00,2016-09-26 00:00:00+00:00,4
70107786,2016-10-31 00:00:00+00:00,2016-10-31 00:00:00+00:00,1
71583602,2016-11-07 00:00:00+00:00,2016-11-28 00:00:00+00:00,4
74791366,2016-11-28 00:00:00+00:00,2017-01-09 00:00:00+00:00,2
75104123,2016-12-05 00:00:00+00:00,2017-01-16 00:00:00+00:00,5
79162682,2017-08-07 00:00:00+00:00,2017-12-04 00:00:00+00:00,4
80945428,2017-02-13 00:00:00+00:00,2017-10-16 00:00:00+00:00,35
83222441,2017-03-13 00:00:00+00:00,2017-03-13 00:00:00+00:00,1
88011908,2017-04-17 00:00:00+00:00,2017-05-08 00:00:00+00:00,4
91629816,2017-06-05 00:00:00+00:00,2019-05-20 00:00:00+00:00,100
101138315,2017-09-04 00:00:00+00:00,2018-02-19 00:00:00+00:00,25
103633984,2017-10-23 00:00:00+00:00,2017-11-13 00:00:00+00:00,4
107111421,2017-10-23 00:00:00+00:00,2017-10-23 00:00:00+00:00,1
109343098,2017-12-04 00:00:00+00:00,2018-04-16 00:00:00+00:00,18
110058856,2017-11-13 00:00:00+00:00,2018-02-12 00:00:00+00:00,14
112507086,2017-12-04 00:00:00+00:00,2017-12-18 00:00:00+00:00,2
121395510,2018-02-19 00:00:00+00:00,2018-03-05 00:00:00+00:00,3
126577260,2018-05-14 00:00:00+00:00,2018-05-28 00:00:00+00:00,3
133442384,2018-06-04 00:00:00+00:00,2018-06-04 00:00:00+00:00,1
135614069,2018-06-25 00:00:00+00:00,2019-04-22 00:00:00+00:00,38
135786093,2018-06-04 00:00:00+00:00,2018-10-22 00:00:00+00:00,21
139824423,2018-07-09 00:00:00+00:00,2018-08-06 00:00:00+00:00,5
155220641,2018-11-12 00:00:00+00:00,2018-12-03 00:00:00+00:00,4
156157055,2018-11-26 00:00:00+00:00,2018-12-17 00:00:00+00:00,4
159152904,2019-02-18 00:00:00+00:00,2019-06-10 00:00:00+00:00,17
160919119,2018-12-17 00:00:00+00:00,2019-04-01 00:00:00+00:00,16
162998479,2018-12-31 00:00:00+00:00,2019-01-07 00:00:00+00:00,2
163591278,2018-12-31 00:00:00+00:00,2019-02-04 00:00:00+00:00,6
172562475,2019-03-04 00:00:00+00:00,2019-04-15 00:00:00+00:00,7
192925833,2019-06-24 00:00:00+00:00,2020-01-27 00:00:00+00:00,32
202367615,2019-08-19 00:00:00+00:00,2019-12-02 00:00:00+00:00,16
204086862,2019-08-26 00:00:00+00:00,2019-10-07 00:00:00+00:00,6
207645083,2019-09-16 00:00:00+00:00,2019-11-11 00:00:00+00:00,7
208728772,2019-09-23 00:00:00+00:00,2019-11-11 00:00:00+00:00,6
212639071,2019-10-07 00:00:00+00:00,2019-11-04 00:00:00+00:00,5
221981891,2019-12-23 00:00:00+00:00,2020-01-27 00:00:00+00:00,2
229764465,2019-12-30 00:00:00+00:00,2020-04-06 00:00:00+00:00,15
255378816,2020-05-11 00:00:00+00:00,2020-06-22 00:00:00+00:00,7
265612440,2021-03-01 00:00:00+00:00,2021-06-21 00:00:00+00:00,17
266417772,2020-05-25 00:00:00+00:00,2020-09-28 00:00:00+00:00,19
274495425,2021-02-15 00:00:00+00:00,2021-02-15 00:00:00+00:00,1
287463830,2020-09-28 00:00:00+00:00,2020-12-14 00:00:00+00:00,12
307260205,2020-12-28 00:00:00+00:00,2021-08-30 00:00:00+00:00,35
311525798,2020-11-16 00:00:00+00:00,2020-11-23 00:00:00+00:00,2
343965132,2021-06-07 00:00:00+00:00,2021-07-05 00:00:00+00:00,2
344190478,2021-11-15 00:00:00+00:00,2022-08-15 00:00:00+00:00,21
357728969,2021-09-13 00:00:00+00:00,2022-07-11 00:00:00+00:00,42
364474335,2021-05-10 00:00:00+00:00,2021-05-10 00:00:00+00:00,1
365739812,2021-11-01 00:00:00+00:00,2021-11-22 00:00:00+00:00,3
453717720,2022-02-07 00:00:00+00:00,2022-04-25 00:00:00+00:00,12
455229168,2022-02-07 00:00:00+00:00,2022-06-20 00:00:00+00:00,20
522158088,2022-12-19 00:00:00+00:00,2023-02-13 00:00:00+00:00,9
523043277,2022-09-05 00:00:00+00:00,2022-09-12 00:00:00+00:00,2
527591471,2022-08-29 00:00:00+00:00,2022-09-12 00:00:00+00:00,3
542284380,2022-10-24 00:00:00+00:00,2023-10-09 00:00:00+00:00,49
552661142,2022-10-31 00:00:00+00:00,2023-01-09 00:00:00+00:00,11
560704231,2022-11-14 00:00:00+00:00,2023-01-16 00:00:00+00:00,10
568098118,2022-12-05 00:00:00+00:00,2023-04-24 00:00:00+00:00,19
572984571,2023-04-17 00:00:00+00:00,2023-07-24 00:00:00+00:00,15
574523116,2022-12-12 00:00:00+00:00,2022-12-12 00:00:00+00:00,1
579082810,2022-12-19 00:00:00+00:00,2023-01-30 00:00:00+00:00,7
585146387,2023-01-09 00:00:00+00:00,2023-01-30 00:00:00+00:00,4
589831718,2023-01-23 00:00:00+00:00,2023-03-20 00:00:00+00:00,9
599320067,2023-03-20 00:00:00+00:00,2023-03-27 00:00:00+00:00,2
599547518,2023-05-29 00:00:00+00:00,2023-06-26 00:00:00+00:00,2
612344730,2023-03-27 00:00:00+00:00,2023-04-03 00:00:00+00:00,2
614765452,2023-03-20 00:00:00+00:00,2023-04-03 00:00:00+00:00,3
615869301,2023-03-20 00:00:00+00:00,2023-05-01 00:00:00+00:00,7
621803253,2023-04-17 00:00:00+00:00,2023-05-08 00:00:00+00:00,4
626805178,2023-04-17 00:00:00+00:00,2023-05-22 00:00:00+00:00,6
655099582,2023-06-26 00:00:00+00:00,2023-12-04 00:00:00+00:00,24
655806940,2023-10-30 00:00:00+00:00,2023-11-06 00:00:00+00:00,2
658928958,2023-07-03 00:00:00+00:00,2023-07-24 00:00:00+00:00,4
669879380,2023-07-24 00:00:00+00:00,2024-01-29 00:00:00+00:00,18
671269505,2023-07-31 00:00:00+00:00,2023-10-09 00:00:00+00:00,11
695864515,2023-10-02 00:00:00+00:00,2024-08-12 00:00:00+00:00,43
699532645,2024-02-19 00:00:00+00:00,2024-02-19 00:00:00+00:00,1
701547123,2023-10-09 00:00:00+00:00,2023-12-18 00:00:00+00:00,11
770153867,2024-03-18 00:00:00+00:00,2024-04-01 00:00:00+00:00,3
771302083,2024-03-18 00:00:00+00:00,2024-03-25 00:00:00+00:00,2
787076358,2024-04-22 00:00:00+00:00,2024-04-29 00:00:00+00:00,2
793375104,2024-05-06 00:00:00+00:00,2024-06-10 00:00:00+00:00,6
834369920,2024-09-02 00:00:00+00:00,2024-09-23 00:00:00+00:00,4
881458615,2024-11-11 00:00:00+00:00,2024-11-18 00:00:00+00:00,2
909213664,2025-01-06 00:00:00+00:00,2025-06-16 00:00:00+00:00,24
969302809,2025-04-28 00:00:00+00:00,2025-06-30 00:00:00+00:00,9
997737944,2025-06-09 00:00:00+00:00,2025-12-29 00:00:00+00:00,30
1024554267,2025-09-01 00:00:00+00:00,2026-03-09 00:00:00+00:00,5
1048065319,2025-09-15 00:00:00+00:00,2025-12-15 00:00:00+00:00,13
1106996539,2025-12-08 00:00:00+00:00,2025-12-29 00:00:00+00:00,4
1136590548,2026-01-19 00:00:00+00:00,2026-01-26 00:00:00+00:00,2
1147094660,2026-02-02 00:00:00+00:00,2026-02-09 00:00:00+00:00,2
