topic,repository_count,catalog_share
javascript,57,0.3931034482758621
python,46,0.31724137931034485
react,31,0.21379310344827587
llm,24,0.16551724137931034
typescript,23,0.15862068965517243
ai,21,0.14482758620689656
machine-learning,18,0.12413793103448276
nodejs,17,0.11724137931034483
deep-learning,15,0.10344827586206896
hacktoberfest,14,0.09655172413793103
openai,14,0.09655172413793103
chatgpt,11,0.07586206896551724
claude,11,0.07586206896551724
html,11,0.07586206896551724
ai-agents,10,0.06896551724137931
rag,10,0.06896551724137931
web,10,0.06896551724137931
artificial-intelligence,9,0.06206896551724138
css,9,0.06206896551724138
framework,9,0.06206896551724138
vue,9,0.06206896551724138
agents,8,0.05517241379310345
awesome,8,0.05517241379310345
claude-code,8,0.05517241379310345
anthropic,7,0.04827586206896552
awesome-list,7,0.04827586206896552
data-science,7,0.04827586206896552
frontend,7,0.04827586206896552
gpt,7,0.04827586206896552
mcp,7,0.04827586206896552
pytorch,7,0.04827586206896552
react-native,7,0.04827586206896552
angular,6,0.041379310344827586
education,6,0.041379310344827586
linux,6,0.041379310344827586
llms,6,0.041379310344827586
nextjs,6,0.041379310344827586
programming,6,0.041379310344827586
agent,5,0.034482758620689655
automation,5,0.034482758620689655
cli,5,0.034482758620689655
codex,5,0.034482758620689655
developer-tools,5,0.034482758620689655
generative-ai,5,0.034482758620689655
interview,5,0.034482758620689655
open-source,5,0.034482758620689655
postgresql,5,0.034482758620689655
rest,5,0.034482758620689655
testing,5,0.034482758620689655
ai-agent,4,0.027586206896551724
android,4,0.027586206896551724
components,4,0.027586206896551724
computer-vision,4,0.027586206896551724
data-visualization,4,0.027586206896551724
deepseek,4,0.027586206896551724
docker,4,0.027586206896551724
electron,4,0.027586206896551724
gemini,4,0.027586206896551724
graphql,4,0.027586206896551724
interview-questions,4,0.027586206896551724
ios,4,0.027586206896551724
json,4,0.027586206896551724
kubernetes,4,0.027586206896551724
large-language-models,4,0.027586206896551724
microsoft-for-beginners,4,0.027586206896551724
natural-language-processing,4,0.027586206896551724
node,4,0.027586206896551724
npm,4,0.027586206896551724
styleguide,4,0.027586206896551724
ui,4,0.027586206896551724
agentic-ai,3,0.020689655172413793
algorithm,3,0.020689655172413793
api,3,0.020689655172413793
apps,3,0.020689655172413793
async,3,0.020689655172413793
c-plus-plus,3,0.020689655172413793
canvas,3,0.020689655172413793
computer-science,3,0.020689655172413793
data-analysis,3,0.020689655172413793
data-engineering,3,0.020689655172413793
database,3,0.020689655172413793
distributed,3,0.020689655172413793
django,3,0.020689655172413793
es6,3,0.020689655172413793
git,3,0.020689655172413793
github,3,0.020689655172413793
golang,3,0.020689655172413793
interview-preparation,3,0.020689655172413793
langchain,3,0.020689655172413793
language-model,3,0.020689655172413793
learn-to-code,3,0.020689655172413793
llama,3,0.020689655172413793
low-code,3,0.020689655172413793
macos,3,0.020689655172413793
markdown,3,0.020689655172413793
mobile,3,0.020689655172413793
mongodb,3,0.020689655172413793
multiagent,3,0.020689655172413793
mysql,3,0.020689655172413793
nestjs,3,0.020689655172413793
no-code,3,0.020689655172413793
ollama,3,0.020689655172413793
openapi,3,0.020689655172413793
openclaw,3,0.020689655172413793
prompt-engineering,3,0.020689655172413793
python3,3,0.020689655172413793
qwen,3,0.020689655172413793
ruby,3,0.020689655172413793
scikit-learn,3,0.020689655172413793
shell,3,0.020689655172413793
skills,3,0.020689655172413793
stable-diffusion,3,0.020689655172413793
style-guide,3,0.020689655172413793
svelte,3,0.020689655172413793
tutorial,3,0.020689655172413793
vite,3,0.020689655172413793
agentic-workflow,2,0.013793103448275862
algorithmic-trading,2,0.013793103448275862
algorithms,2,0.013793103448275862
antd,2,0.013793103448275862
apache,2,0.013793103448275862
app-framework,2,0.013793103448275862
applications,2,0.013793103448275862
asyncio,2,0.013793103448275862
azure,2,0.013793103448275862
backend,2,0.013793103448275862
bash,2,0.013793103448275862
best-practices,2,0.013793103448275862
book,2,0.013793103448275862
cheatsheet,2,0.013793103448275862
chrome,2,0.013793103448275862
cms,2,0.013793103448275862
coding,2,0.013793103448275862
collaboration,2,0.013793103448275862
cpp,2,0.013793103448275862
cross-platform,2,0.013793103448275862
curriculum,2,0.013793103448275862
d3,2,0.013793103448275862
data,2,0.013793103448275862
design,2,0.013793103448275862
design-system,2,0.013793103448275862
design-systems,2,0.013793103448275862
development,2,0.013793103448275862
devops,2,0.013793103448275862
diagrams,2,0.013793103448275862
documentation,2,0.013793103448275862
es2015,2,0.013793103448275862
eslint,2,0.013793103448275862
finance,2,0.013793103448275862
free,2,0.013793103448275862
gan,2,0.013793103448275862
gemma,2,0.013793103448275862
glm,2,0.013793103448275862
gpt-4,2,0.013793103448275862
gpt-oss,2,0.013793103448275862
home-automation,2,0.013793103448275862
html5,2,0.013793103448275862
http-client,2,0.013793103448275862
image-generation,2,0.013793103448275862
interview-practice,2,0.013793103448275862
iot,2,0.013793103448275862
java,2,0.013793103448275862
javascript-framework,2,0.013793103448275862
javascript-interview-questions,2,0.013793103448275862
js,2,0.013793103448275862
jsx,2,0.013793103448275862
language,2,0.013793103448275862
machine-learning-algorithms,2,0.013793103448275862
material-design,2,0.013793103448275862
meteor,2,0.013793103448275862
microservices,2,0.013793103448275862
mit,2,0.013793103448275862
ml,2,0.013793103448275862
mlops,2,0.013793103448275862
monitoring,2,0.013793103448275862
neural-network,2,0.013793103448275862
nlp,2,0.013793103448275862
numpy,2,0.013793103448275862
openapi3,2,0.013793103448275862
opensource,2,0.013793103448275862
orchestration,2,0.013793103448275862
orm,2,0.013793103448275862
pandas,2,0.013793103448275862
playwright,2,0.013793103448275862
practice,2,0.013793103448275862
programming-language,2,0.013793103448275862
prometheus,2,0.013793103448275862
pwa,2,0.013793103448275862
pydantic,2,0.013793103448275862
react-components,2,0.013793103448275862
reactjs,2,0.013793103448275862
realtime,2,0.013793103448275862
redis,2,0.013793103448275862
redux,2,0.013793103448275862
rust,2,0.013793103448275862
scss,2,0.013793103448275862
self-hosted,2,0.013793103448275862
sqlite,2,0.013793103448275862
swift,2,0.013793103448275862
tailwindcss,2,0.013793103448275862
testing-tools,2,0.013793103448275862
transformer,2,0.013793103448275862
transformers,2,0.013793103448275862
tts,2,0.013793103448275862
tutorials,2,0.013793103448275862
ui-kit,2,0.013793103448275862
universal,2,0.013793103448275862
vector-database,2,0.013793103448275862
vercel,2,0.013793103448275862
vuejs,2,0.013793103448275862
web-application,2,0.013793103448275862
web-development,2,0.013793103448275862
web-framework,2,0.013793103448275862
webdevelopment,2,0.013793103448275862
webgl,2,0.013793103448275862
webui,2,0.013793103448275862
workflow,2,0.013793103448275862
yaml,2,0.013793103448275862
zero-configuration,2,0.013793103448275862
100-days-of-code-log,1,0.006896551724137931
100daysofcode,1,0.006896551724137931
30daysofjavascript,1,0.006896551724137931
3b1b-videos,1,0.006896551724137931
3d,1,0.006896551724137931
activiti,1,0.006896551724137931
agent-skills,1,0.006896551724137931
agentic-code,1,0.006896551724137931
agentic-coding,1,0.006896551724137931
agentic-framework,1,0.006896551724137931
ai-art,1,0.006896551724137931
ai-crawler,1,0.006896551724137931
ai-deep-fake,1,0.006896551724137931
ai-face,1,0.006896551724137931
ai-gateway,1,0.006896551724137931
ai-memory,1,0.006896551724137931
ai-scraping,1,0.006896551724137931
ai-search,1,0.006896551724137931
ai-skills,1,0.006896551724137931
ai-tools,1,0.006896551724137931
ai-webcam,1,0.006896551724137931
ai-workflow-optimization,1,0.006896551724137931
ai-workflows,1,0.006896551724137931
airflow,1,0.006896551724137931
alerting,1,0.006896551724137931
algorithm-competitions,1,0.006896551724137931
algorithms-and-data-structures,1,0.006896551724137931
algorithms-implemented,1,0.006896551724137931
algos,1,0.006896551724137931
alignment,1,0.006896551724137931
amd,1,0.006896551724137931
analytics,1,0.006896551724137931
android-interview-questions,1,0.006896551724137931
angularjs-interview-questions,1,0.006896551724137931
animation,1,0.006896551724137931
anns,1,0.006896551724137931
ansible,1,0.006896551724137931
ant-design,1,0.006896551724137931
anthropic-claude,1,0.006896551724137931
antigravity,1,0.006896551724137931
apache-airflow,1,0.006896551724137931
apache-superset,1,0.006896551724137931
api-client,1,0.006896551724137931
api-testing,1,0.006896551724137931
application,1,0.006896551724137931
arrow-functions,1,0.006896551724137931
asf,1,0.006896551724137931
ast,1,0.006896551724137931
astro,1,0.006896551724137931
attention-mechanism,1,0.006896551724137931
audio,1,0.006896551724137931
audio-generation,1,0.006896551724137931
augmented-reality,1,0.006896551724137931
auto-quant,1,0.006896551724137931
autograd,1,0.006896551724137931
autonomous-agents,1,0.006896551724137931
awesome-claude-code,1,0.006896551724137931
awesome-lists,1,0.006896551724137931
awesome-resources,1,0.006896551724137931
awesomeness,1,0.006896551724137931
aws,1,0.006896551724137931
azure-openai,1,0.006896551724137931
backup-tool,1,0.006896551724137931
base-ui,1,0.006896551724137931
bedrock,1,0.006896551724137931
beginner-project,1,0.006896551724137931
bi,1,0.006896551724137931
bioinformatics,1,0.006896551724137931
bitcoin,1,0.006896551724137931
blackwell,1,0.006896551724137931
blog,1,0.006896551724137931
blogging,1,0.006896551724137931
boards,1,0.006896551724137931
book-series,1,0.006896551724137931
books,1,0.006896551724137931
bootstrap,1,0.006896551724137931
browser,1,0.006896551724137931
browser-automation,1,0.006896551724137931
browser-use,1,0.006896551724137931
bug-tracker,1,0.006896551724137931
build-system,1,0.006896551724137931
build-tools,1,0.006896551724137931
bun,1,0.006896551724137931
bundler,1,0.006896551724137931
business,1,0.006896551724137931
