,count,mean,std,min,25%,50%,75%,max
repo_id,145.0,280132534.64827585,308882479.5031698,576201.0,33614304.0,135614069.0,552661142.0,1147094660.0
early_4week_stars,145.0,819.9655172413793,667.5768309277748,4.0,69.0,1021.0,1500.0,1500.0
early_avg_weekly_stars,145.0,404.9913793103448,478.5516301148543,1.0,17.25,255.25,750.0,1500.0
early_max_weekly_stars,145.0,661.6275862068966,611.2248738851673,1.0,45.0,559.0,1306.0,1500.0
later_stars,145.0,673.5931034482759,664.5660185471891,0.0,0.0,479.0,1430.0,1496.0
later_avg_weekly_stars,145.0,95.88206617193212,201.94636231804301,0.0,0.0,21.482758620689655,104.21428571428572,1468.0
became_high_growth,145.0,0.503448275862069,0.5017211754859809,0.0,0.0,1.0,1.0,1.0
stars_count,145.0,96173.51034482759,63170.79511443969,44126.0,48974.0,82772.0,113027.0,446814.0
forks_count,145.0,16931.124137931034,15482.32786602678,1268.0,6650.0,10707.0,22834.0,78823.0
watchers_count,145.0,96173.51034482759,63170.79511443969,44126.0,48974.0,82772.0,113027.0,446814.0
open_issues_count,145.0,1225.5241379310344,2601.762645258121,0.0,122.0,424.0,1206.0,20282.0
archived,145.0,0.006896551724137931,0.08304547985373997,0.0,0.0,0.0,0.0,1.0
is_fork,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
