,count,mean,std,min,25%,50%,75%,max
repo_id,763.0,358427130.7129751,338108376.5435405,237159.0,71197633.0,221654678.0,634153072.0,1235403234.0
owner_id,763.0,50524445.903014414,59278433.82247564,27804.0,6154722.0,25323389.0,79827092.5,275135684.0
stars_count,763.0,36848.0996068152,42912.31241522748,467.0,9603.5,27073.0,44894.0,446814.0
forks_count,763.0,5996.249017038008,9327.37787901906,12.0,1228.0,3009.0,6645.0,78823.0
watchers_count,763.0,36848.0996068152,42912.31241522748,467.0,9603.5,27073.0,44894.0,446814.0
subscribers_count,763.0,542.0733944954128,935.1586457756291,0.0,98.0,229.0,589.0,8629.0
network_count,763.0,5996.249017038008,9327.37787901906,12.0,1228.0,3009.0,6645.0,78823.0
open_issues_count,763.0,486.5019659239843,1305.5701597100265,0.0,21.0,113.0,451.5,20282.0
size,763.0,390943.17169069464,1600368.1786886398,17.0,10791.5,59431.0,265476.5,27438617.0
archived,763.0,0.035386631716906945,0.18487621219833153,0.0,0.0,0.0,0.0,1.0
disabled,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_fork,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_issues,763.0,0.9711664482306684,0.1674482795578076,0.0,1.0,1.0,1.0,1.0
has_projects,763.0,0.7601572739187418,0.4272674286058023,0.0,1.0,1.0,1.0,1.0
has_downloads,763.0,0.9895150720838795,0.1019245293374988,0.0,1.0,1.0,1.0,1.0
has_wiki,763.0,0.5897771952817824,0.4921966698805134,0.0,0.0,1.0,1.0,1.0
